Feature,Dataset,Folder,T,CV,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
arp.duplicate-address-detected,AD-S2-1,SS,0.0,2.0,0.0641488977231658,0.0476190476190476,0.0030547094153888,0.0476190476190476,0.0057411315689461,0.0,0.0,0.008522510528564401,0.00844459533691402
arp.duplicate-address-frame,AD-S2-1,SS,0.0,2.0,0.0641488977231658,0.0476190476190476,0.0030547094153888,0.0476190476190476,0.0057411315689461,0.0,0.0,0.00980954170227046,0.00976562499999998
arp.hw.size,AD-S2-1,SS,0.0,2.0,0.0641488977231658,0.0476190476190476,0.0030547094153888,0.0476190476190476,0.0057411315689461,0.0,0.0,0.01061587333679194,0.00924158096313472
arp.hw.type,AD-S2-1,SS,0.0,2.0,0.0641488977231658,0.0476190476190476,0.0030547094153888,0.0476190476190476,0.0057411315689461,0.0,0.0,0.00627574920654294,0.012525749206542942
arp.isannouncement,AD-S2-1,SS,0.0,2.0,0.0641488977231658,0.0476190476190476,0.0030547094153888,0.0476190476190476,0.0057411315689461,0.0,0.0,0.00698914527893064,0.009422636032104439
arp.isgratuitous,AD-S2-1,SS,0.0,2.0,0.0641488977231658,0.0476190476190476,0.0030547094153888,0.0476190476190476,0.0057411315689461,0.0,0.0,0.01017203330993648,0.009844398498535101
arp.isprobe,AD-S2-1,SS,0.0,2.0,0.0641488977231658,0.0476190476190476,0.0030547094153888,0.0476190476190476,0.0057411315689461,0.0,0.0,0.00900201797485346,0.010798454284667903
arp.opcode,AD-S2-1,SS,0.0,2.0,0.0641488977231658,0.0476190476190476,0.0030547094153888,0.0476190476190476,0.0057411315689461,0.0,0.0,0.00992012023925776,0.01016602516174312
arp.proto.size,AD-S2-1,SS,0.0,2.0,0.0641488977231658,0.0476190476190476,0.0030547094153888,0.0476190476190476,0.0057411315689461,0.0,0.0,0.0079199314117431,0.01029105186462398
arp.proto.type,AD-S2-1,SS,0.0,2.0,0.0641488977231658,0.0476190476190476,0.0030547094153888,0.0476190476190476,0.0057411315689461,0.0,0.0,0.00903606414794918,0.0092269897460937
arp.seconds-since-duplicate-address-frame,AD-S2-1,SS,0.0,2.0,0.0641488977231658,0.0476190476190476,0.0030547094153888,0.0476190476190476,0.0057411315689461,0.0,0.0,0.00909357070922846,0.00812010765075678
dhcp.flags.bc,AD-S2-1,SS,0.0,2.0,0.0724998709277711,0.0628606296273577,0.0812788756286724,0.0628606296273577,0.0285072413116784,0.0092847004239476,0.0,0.01102828979492182,0.010027408599853462
dhcp.flags,AD-S2-1,SS,0.0,2.0,0.0724998709277711,0.0628606296273577,0.0812788756286724,0.0628606296273577,0.0285072413116784,0.0092847004239476,0.0,0.00994548797607418,0.010905838012695259
dhcp.flags.reserved,AD-S2-1,SS,0.0,2.0,0.0724353348133615,0.0628125684165997,0.0468234368875194,0.0628125684165997,0.0283529071051634,0.0092193942219716,0.0,0.009368944168090778,0.009032154083251899
dhcp.hops,AD-S2-1,SS,0.0,2.0,0.0724353348133615,0.0628125684165997,0.0468234368875194,0.0628125684165997,0.0283529071051634,0.0092193942219716,0.0,0.011061429977416961,0.00878086090087886
dhcp.hw.addr_padding,AD-S2-1,SS,0.0,2.0,0.0724353348133615,0.0628125684165997,0.0468234368875194,0.0628125684165997,0.0283529071051634,0.0092193942219716,0.0,0.01086997985839842,0.010217237472534118
dhcp.hw.len,AD-S2-1,SS,0.0,2.0,0.0724353348133615,0.0628125684165997,0.0468234368875194,0.0628125684165997,0.0283529071051634,0.0092193942219716,0.0,0.01005392074584956,0.01134548187255854
dhcp.hw.type,AD-S2-1,SS,0.0,2.0,0.0724353348133615,0.0628125684165997,0.0468234368875194,0.0628125684165997,0.0283529071051634,0.0092193942219716,0.0,0.011595869064331,0.01044001579284664
dhcp.id,AD-S2-1,SS,0.0,2.0,0.0721255614641953,0.0620116489671478,0.3423417662704633,0.0620116489671478,0.0280558982074516,0.008885591339216,0.0,0.01269783973693844,0.010146188735961839
dhcp.option.dhcp,AD-S2-1,SS,0.0,2.0,0.0724353348133615,0.0628125684165997,0.0468234368875194,0.0628125684165997,0.0283529071051634,0.0092193942219716,0.0,0.012094879150390602,0.00796079635620114
dhcp.option.dhcp_max_message_size,AD-S2-1,SS,0.0,2.0,0.0718545097836749,0.061653199750065404,0.0915382263756396,0.061653199750065404,0.027393591033764996,0.0085532861713771,0.0,0.011550903320312462,0.00942525863647458
dhcp.option.end,AD-S2-1,SS,0.0,2.0,0.0724353348133615,0.0628125684165997,0.0468234368875194,0.0628125684165997,0.0283529071051634,0.0092193942219716,0.0,0.010123014450073199,0.01004495620727534
dhcp.option.interface_mtu,AD-S2-1,SS,0.0,2.0,0.0641488977231658,0.0476190476190476,0.0030547094153888,0.0476190476190476,0.0057411315689461,0.0,0.0,0.01000876426696772,0.009271335601806579
dhcp.option.ip_address_lease_time,AD-S2-1,SS,0.0,2.0,0.0641747121689297,0.0476625552002436,0.0506738358921026,0.0476625552002436,0.0058282065751899,2.85740203893603e-05,0.0,0.00873155593872066,0.010328912734985322
dhcp.option.padding,AD-S2-1,SS,0.0,2.0,0.0724353348133615,0.0628125684165997,0.0473287978267791,0.0628125684165997,0.028419048014419402,0.0092152248306239,0.0,0.009307146072387659,0.009604406356811502
dhcp.option.rebinding_time_value,AD-S2-1,SS,0.0,2.0,0.0641488977231658,0.0476190476190476,0.0030547094153888,0.0476190476190476,0.0057411315689461,0.0,0.0,0.009696865081787059,0.010294628143310478
dhcp.option.renewal_time_value,AD-S2-1,SS,0.0,2.0,0.0641488977231658,0.0476190476190476,0.0030547094153888,0.0476190476190476,0.0057411315689461,0.0,0.0,0.0094260692596435,0.00859088897705074
dhcp.secs,AD-S2-1,SS,0.0,2.0,0.0724869637048892,0.0628947399615539,0.12339208163648521,0.0628947399615539,0.0285669343365623,0.0092742461013836,0.0,0.0112401485443115,0.00806636810302728
dhcp.type,AD-S2-1,SS,0.0,2.0,0.0724482420362434,0.0628221497139074,0.046886594219847,0.0628221497139074,0.028362318232950202,0.0092326599408625,0.0,0.00930004119873042,0.00992503166198724
dns.count.add_rr,AD-S2-1,SS,0.0,2.0,0.0704992513810728,0.055330719264684206,0.0988892696125312,0.055330719264684206,0.017035497310246,0.0096517091835541,0.0,0.010924816131591741,0.00894398689270014
dns.count.answers,AD-S2-1,SS,0.0,2.0,0.0792890701636635,0.0630978843533003,0.1284432342881476,0.0630978843533003,0.030669109498568096,0.0194301921248082,0.0,0.010097694396972601,0.0095580101013183
dns.count.auth_rr,AD-S2-1,SS,0.0,2.0,0.0689761990810057,0.05328936791581999,0.0486195852644282,0.05328936791581999,0.012984806065406498,0.0079815217583856,0.0,0.00852632522583002,0.00891289710998532
dns.count.queries,AD-S2-1,SS,0.0,2.0,0.0738809437761371,0.0572936666283498,0.1134701224042628,0.0572936666283498,0.0206987393555959,0.013247586040068099,0.0,0.01176400184631342,0.013143968582153259
dns.extraneous,AD-S2-1,SS,0.0,2.0,0.0641488977231658,0.0476190476190476,0.0030547094153888,0.0476190476190476,0.0057411315689461,0.0,0.0,0.00909280776977534,0.0089734554290771
dns.extraneous.data,AD-S2-1,SS,0.0,2.0,0.0641488977231658,0.0476190476190476,0.0030547094153888,0.0476190476190476,0.0057411315689461,0.0,0.0,0.00821533203124996,0.01047410964965814
dns.extraneous.length,AD-S2-1,SS,0.0,2.0,0.0641488977231658,0.0476190476190476,0.0030547094153888,0.0476190476190476,0.0057411315689461,0.0,0.0,0.009862756729125902,0.00901064872741694
dns.flags.authenticated,AD-S2-1,SS,0.0,2.0,0.0715060147658629,0.0532336878413337,0.027762628490269104,0.0532336878413337,0.0149509892152408,0.0080771120137139,0.0,0.01010622978210444,0.00815944671630854
dns.flags.authoritative,AD-S2-1,SS,0.0,2.0,0.0763333161237028,0.0571315919362174,0.083387056085592,0.0571315919362174,0.0228133046073269,0.013272564195851499,0.0,0.0103277683258056,0.0099739551544189
dns.flags.checkdisable,AD-S2-1,SS,0.0,2.0,0.0689503846352418,0.0532336878413337,0.0129046847483684,0.0532336878413337,0.012862150884469,0.00795178088943,0.0,0.01052803993225092,0.00964207649230952
dns.flags,AD-S2-1,SS,0.0,2.0,0.0798182663018225,0.0634284240389431,0.10492243758697758,0.0634284240389431,0.031269708137349,0.0199897500442717,0.0,0.014043235778808541,0.00898942947387694
dns.flags.opcode,AD-S2-1,SS,0.0,2.0,0.0689503846352418,0.0532336878413337,0.0129046847483684,0.0532336878413337,0.012862150884469,0.00795178088943,0.0,0.01099576950073238,0.010508394241332982
dns.flags.rcode,AD-S2-1,SS,0.0,2.0,0.0715060147658629,0.0532336878413337,0.027762628490269104,0.0532336878413337,0.0149509892152408,0.0080771120137139,0.0,0.00973486900329584,0.01018605232238764
dns.flags.recavail,AD-S2-1,SS,0.0,2.0,0.0763333161237028,0.0571315919362174,0.083387056085592,0.0571315919362174,0.0228133046073269,0.013272564195851499,0.0,0.0096916198730468,0.01105680465698238
dns.flags.recdesired,AD-S2-1,SS,0.0,2.0,0.0737776859930817,0.0571315919362174,0.0470434084292162,0.0571315919362174,0.0203600866459526,0.0131348263139032,0.0,0.01299557685852048,0.010025930404663038
dns.flags.response,AD-S2-1,SS,0.0,2.0,0.0749522432753368,0.0595011254702205,0.0407624563846837,0.0595011254702205,0.0233211845327874,0.014773087460047902,0.0,0.014107418060302699,0.00888257026672358
dns.flags.truncated,AD-S2-1,SS,0.0,2.0,0.0689503846352418,0.0532336878413337,0.0129046847483684,0.0532336878413337,0.012862150884469,0.00795178088943,0.0,0.0090422630310058,0.01083750724792478
dns.flags.z,AD-S2-1,SS,0.0,2.0,0.0689503846352418,0.0532336878413337,0.0129046847483684,0.0532336878413337,0.012862150884469,0.00795178088943,0.0,0.011332511901855422,0.00974993705749508
dns.id,AD-S2-1,SS,0.0,2.0,0.0725385925964169,0.05717457208019701,0.0885335521043393,0.05717457208019701,0.0223261370594352,0.012039900596189,0.0,0.024189281463622998,0.01001563072204586
dns.response_to,AD-S2-1,SS,0.0,2.0,0.0714802003200991,0.0532145252467184,0.0502031067294695,0.0532145252467184,0.0157685902263934,0.0080520385417214,0.0,0.0098852634429931,0.00799074172973628
dns.retransmission,AD-S2-1,SS,0.0,2.0,0.0641618049460478,0.0476288457769939,0.0043788807993353,0.0476288457769939,0.005763091751282,1.4496894900184462e-05,0.0,0.01081728935241694,0.00823135375976556
dns.retransmit_request,AD-S2-1,SS,0.0,2.0,0.0641618049460478,0.0476288457769939,0.004592030477206,0.0476288457769939,0.0057627631786334,1.4398987618458037e-05,0.0,0.01189856529235834,0.010069131851196242
dns.retransmit_request_in,AD-S2-1,SS,0.0,2.0,0.0641618049460478,0.0476288457769939,0.004592030477206,0.0476288457769939,0.0057627631786334,1.4398987618458037e-05,0.0,0.01097493171691888,0.0090478897094726
dns.retransmit_response,AD-S2-1,SS,0.0,2.0,0.0641488977231658,0.0476190476190476,0.0030549065671885,0.0476190476190476,0.0057414797653271,2.475305353022428e-06,0.0,0.010561990737915,0.00970144271850582
dns.retransmit_response_in,AD-S2-1,SS,0.0,2.0,0.0641488977231658,0.0476190476190476,0.0030549065671885,0.0476190476190476,0.0057414797653271,1.3965330055709655e-06,0.0,0.012906169891357362,0.00966715812683102
dns.soa.expire_limit,AD-S2-1,SS,0.0,2.0,0.0641488977231658,0.0476190476190476,0.0030547094153888,0.0476190476190476,0.0057411315689461,0.0,0.0,0.00969367027282712,0.00916285514831538
