,precision,recall,f1-score,support
Amazon Echo,0.8589571080431047,0.7469250871080139,0.7979829752331032,4592.0
Awair air quality monitor,0.9457001103233408,0.9822936529555976,0.9636375661464716,3671.0
Belkin Wemo switch,0.16902210034435342,0.13625501560410164,0.15087627959962935,4486.0
Belkin wemo motion sensor,0.6793515418844018,0.6978732276897417,0.6867468407430708,4796.0
Dropcam,0.9739434255875048,0.9991845056065242,0.9864025087588136,4905.0
HP Printer,0.4179126562747074,0.24209478672985785,0.3052424299777519,4220.0
Light Bulbs LiFX Smart Bulb,0.9888100088320411,0.9143937348096142,0.9501468815620113,3703.0
MacBook,0.8521365762699089,0.05421052631578949,0.10190679219941125,4788.0
NEST Protect smoke alarm,0.3827220505377199,0.8368091168091167,0.5250025128941316,351.0
Netatmo Welcome,0.931106896091511,0.8341444372153543,0.8795578524206243,4611.0
Netatmo weather station,0.43416670509760613,0.878675847457627,0.5811682592431829,3776.0
PIX-STAR Photo-frame,0.6341058907260916,0.7296866096866097,0.6784504645703611,1755.0
Phillip Hue Lightbulb,0.5061192939591157,0.4311804423748546,0.4556462985020625,4295.0
Samsung Galaxy Tab,0.8924009195307171,0.838156199677939,0.8635113353526743,4968.0
Samsung SmartCam,0.38563694326937814,0.5320197467267654,0.44642918844928803,4659.0
Smart Things,1.0,0.9997584541062804,0.9998792124652737,4140.0
TP-Link Day Night Cloud camera,0.9722164979686826,0.21770373053241568,0.3557430576012587,2761.0
TP-Link Smart plug,0.9759681664702478,0.8600620636152054,0.9143552486851886,2578.0
TPLink Router Bridge LAN,0.4928027189183721,0.9278716577540108,0.6402836151642128,4675.0
Triby Speaker,0.7250779116294994,0.8654030874785592,0.7871757696779674,2332.0
iHome,0.9763000229345679,0.9170653907496015,0.9457554360502464,2508.0
accuracy,0.6797576683212422,0.6797576683212422,0.6797576683212422,0.6797576683212422
macro avg,0.7235455973663271,0.6972270152858847,0.66742383453794,78570.0
weighted avg,0.7265146803515888,0.6797576683212422,0.6610269535257545,78570.0
