Dataset,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T,Al-Time
results/other/2_3,0,1,DT,0.6051906644560643,0.618833213616732,0.6974403296244565,0.618833213616732,0.5748865910594213,0.5853214739245205,0,0.3757505416870117,0.024029254913330078,0
results/other/2_3,1,2,DT,0.6026527228669812,0.6165797296887706,0.6923804523054167,0.6165797296887706,0.5732928267407951,0.5826431848558534,0,0.4060502052307129,0.024715185165405273,0
results/other/2_3,2,3,DT,0.5685371763805637,0.5899198419091553,0.6379866111549231,0.5899198419091553,0.5348090298041598,0.5468987253649551,0,0.370410680770874,0.019823789596557617,0
results/other/2_3,3,4,DT,0.6062874633337585,0.6198025664492631,0.7005181732276652,0.6198025664492631,0.5756452891924111,0.5864734221664872,0,0.3727705478668213,0.02074742317199707,0
results/other/2_3,4,5,DT,0.6007397015686775,0.6141914274041288,0.667715764444268,0.6141914274041288,0.5706825904454589,0.5804840671499891,0,0.370638370513916,0.019543170928955078,0
results/other/2_3,5,6,DT,0.6049866088509118,0.6178841010571643,0.6677880722424501,0.6178841010571643,0.5733830031280552,0.584951481169697,0,0.3633389472961426,0.020912647247314453,0
results/other/2_3,6,7,DT,0.570246142073715,0.5905546200336755,0.6161578330515146,0.5905546200336755,0.5351872617335051,0.5486466256254439,0,0.38002800941467285,0.020098447799682617,0
results/other/2_3,7,8,DT,0.5723887259278153,0.5922072142454082,0.6172101494798515,0.5922072142454082,0.5369548530015228,0.5507247256902823,0,0.36721110343933105,0.019364118576049805,0
results/other/2_3,8,9,DT,0.6028695319474556,0.6169324484338199,0.6731189004918325,0.6169324484338199,0.5725399128559105,0.5827210657132395,0,0.35686349868774414,0.019565582275390625,0
results/other/2_3,9,10,DT,0.6058155847468435,0.6195459243706856,0.6736107460675823,0.6195459243706856,0.5740129007528456,0.5858259040039427,0,0.3710668087005615,0.022121906280517578,0
results/other/2_3,10,11,DT,0.6083025124346384,0.6206362387274741,0.6975373387871203,0.6206362387274741,0.5771347621554804,0.5885864231669964,0,0.3752143383026123,0.020712852478027344,0
results/other/2_3,11,12,DT,0.5718530799642902,0.5920825010620199,0.640860037454703,0.5920825010620199,0.536114360061385,0.5505363520643709,0,0.3660097122192383,0.02121138572692871,0
results/other/2_3,12,13,DT,0.6029460527993878,0.6170013527670335,0.6888631734482795,0.6170013527670335,0.5728606692943747,0.582992024371828,0,0.3698904514312744,0.02187800407409668,0
results/other/2_3,13,14,DT,0.5739829103430685,0.5938329428350143,0.6153778113031305,0.5938329428350143,0.5370382220987168,0.5525677822625105,0,0.3756101131439209,0.02014303207397461,0
results/other/2_3,14,15,DT,0.6048208136717256,0.6176841423698219,0.6960672305230649,0.6176841423698219,0.5746771761283328,0.5849288398331443,0,0.3877289295196533,0.01996898651123047,0
results/other/2_3,15,16,DT,0.6044509628873869,0.6180212628888349,0.6917688199665487,0.6180212628888349,0.5745312844917733,0.5845297269801191,0,0.3711423873901367,0.021001577377319336,0
results/other/2_3,16,17,DT,0.5713046805254431,0.5913988675755034,0.6351980375198751,0.5913988675755034,0.5360884297952115,0.5499443042032369,0,0.3665440082550049,0.020020246505737305,0
results/other/2_3,17,18,DT,0.5725545211070017,0.5933770713209114,0.648049980801596,0.5933770713209114,0.5376252605564881,0.5512252086137905,0,0.3744843006134033,0.018988847732543945,0
results/other/2_3,18,19,DT,0.603048080601964,0.6161264149630095,0.6896450781572279,0.6161264149630095,0.5736107753308469,0.5830581586100673,0,0.32012057304382324,0.0207977294921875,0
results/other/2_3,19,20,DT,0.5992730519066446,0.6132579472820578,0.6914847345813718,0.6132579472820578,0.5699976165211815,0.5791523202628881,0,0.35826635360717773,0.021064043045043945,0
results/other/2_3,20,21,DT,0.5712664200994771,0.5915248889223618,0.6407282428332687,0.5915248889223618,0.5356677086949182,0.5499134937669202,0,0.369098424911499,0.021622657775878906,0
results/other/2_3,21,22,DT,0.5730391531692386,0.5936469606112242,0.616552052918763,0.5936469606112242,0.5367246225277553,0.5515695934897027,0,0.3656198978424072,0.020614147186279297,0
results/other/2_3,22,23,DT,0.5724014794031373,0.5932703835295408,0.6458968745872095,0.5932703835295408,0.5363694609007512,0.551112998701555,0,0.3764612674713135,0.020662784576416016,0
results/other/2_3,23,24,DT,0.6027802576202015,0.6158933367951623,0.6856866418123264,0.6158933367951623,0.5734935910628434,0.582780773620326,0,0.37281012535095215,0.02189016342163086,0
results/other/2_3,24,25,DT,0.6046550184925392,0.618336648127855,0.6910378974273578,0.618336648127855,0.5738174746952113,0.5847853797298852,0,0.31631970405578613,0.020813703536987305,0
