,precision,recall,f1-score,support
Amazon Echo,0.8892153610306888,0.7811239999999998,0.8316533370953497,10000.0
Awair air quality monitor,0.21255282664156316,0.07298924731182796,0.09784329225961087,930.0
Belkin Wemo switch,0.2664004060132063,0.188854819357419,0.22079557706738828,7501.0
Belkin wemo motion sensor,0.46319420658257143,0.5644319999999999,0.5087795384175373,10000.0
Dropcam,0.997913512637113,0.9394040194040193,0.9677737669434151,1443.0
HP Printer,0.785192529143652,0.8574958263772956,0.8069963754008467,1198.0
Light Bulbs LiFX Smart Bulb,0.4522560655281945,0.4665309787488776,0.45788910735766947,3341.0
MacBook,0.4892814048958373,0.16574515411503019,0.2470801505697419,3147.0
NEST Protect smoke alarm,0.015767870150844875,0.8439999999999998,0.03080120860196232,10.0
Netatmo Welcome,0.6421592010106426,0.586295005807201,0.612887290588825,3444.0
Netatmo weather station,0.8367772668009285,0.812923076923077,0.8232714572134917,715.0
PIX-STAR Photo-frame,0.7575576655926619,0.9211798287345384,0.8313746717326904,1051.0
Phillip Hue Lightbulb,0.5425935293983051,0.40038071065989844,0.4605578599312829,4728.0
Samsung Galaxy Tab,0.17354006682000248,0.6903617021276597,0.27721053804457646,1880.0
Samsung SmartCam,0.7974532130514084,0.48967484662576694,0.6067192779466064,6520.0
Smart Things,0.32979669587648486,0.1883647478349465,0.2304799971077954,1963.0
TP-Link Day Night Cloud camera,0.6819990556403239,0.7697183098591546,0.7150680942935409,1420.0
TP-Link Smart plug,0.650005656859109,0.4428426395939086,0.521630625246602,985.0
TPLink Router Bridge LAN,0.5904096033326904,0.5446605281797026,0.5660989090630509,9883.0
Triby Speaker,0.23897805544637632,0.6160000000000003,0.34280283120795774,950.0
iHome,0.20776489290935088,0.6134992223950233,0.3103435948476456,643.0
accuracy,0.5243795294904672,0.5243795294904672,0.5243795294904672,0.5243795294904672
macro avg,0.5248004326362836,0.5693560316216832,0.4984789286160756,71752.0
weighted avg,0.5755999237619596,0.5243795294904672,0.5317169082007858,71752.0
