,precision,recall,f1-score,support
Amazon Echo,0.6703515173320401,0.7877560000000001,0.7236173061106455,10000.0
Awair air quality monitor,0.021235060762361396,0.014849624060150375,0.01747177688998276,1064.0
Belkin Wemo switch,0.18951689760710305,0.4806715758468336,0.27180501238590493,3395.0
Belkin wemo motion sensor,0.7175379373350446,0.5780200000000001,0.6401945798908745,10000.0
Dropcam,0.0,0.0,0.0,726.0
HP Printer,0.2751719594767008,0.023034563561804333,0.04046927191453399,1707.0
Light Bulbs LiFX Smart Bulb,0.5361928866570707,0.5123718309859154,0.5239722829733726,3550.0
MacBook,0.055648647360650776,0.7762162162162163,0.103500286670021,185.0
NEST Protect smoke alarm,0.2348909772172267,0.016440872560275547,0.02989129759937904,871.0
Netatmo Welcome,0.43044459579062255,0.6323376623376624,0.5106103546382533,1540.0
Netatmo weather station,0.3540889028451471,0.10181818181818185,0.15814785374536114,429.0
PIX-STAR Photo-frame,0.7273000428887387,0.48398849472674976,0.551014080213764,1043.0
Phillip Hue Lightbulb,0.6934626287112858,0.4865267709525628,0.5619040062504309,7863.0
Samsung Galaxy Tab,0.43036234730850653,0.5609919999999999,0.48678252757778057,10000.0
Samsung SmartCam,0.69662060111616,0.41989292088042823,0.5221694211136793,5043.0
Smart Things,0.8423562666565588,0.36073754413495485,0.4999742483722291,2549.0
TP-Link Day Night Cloud camera,0.6287557413552443,0.8655543822597679,0.7283698106119288,947.0
TP-Link Smart plug,0.4939602210856671,0.8849056603773586,0.6328876036043705,954.0
TPLink Router Bridge LAN,0.5549162695690033,0.5945,0.571672078147581,10000.0
Triby Speaker,0.43510811519930415,0.02804716285924834,0.052551245395424696,2714.0
iHome,0.49044944921960765,0.15971938775510208,0.24045452849177779,1568.0
accuracy,0.5154677732836056,0.5154677732836056,0.5154677732836056,0.5154677732836056
macro avg,0.45135100311876414,0.4175419453015816,0.3746409320284427,76148.0
weighted avg,0.5606008580149335,0.5154677732836056,0.5083058676135908,76148.0
