,precision,recall,f1-score,support
Amazon Echo,0.9821746636527138,0.9949300000000003,0.9885055929394279,10000.0
Awair air quality monitor,0.0,0.0,0.0,10000.0
Belkin Wemo switch,0.02343867857772399,0.004029999999999999,0.0068773963766356454,10000.0
Belkin wemo motion sensor,1.0,0.6317600000000001,0.7743295148222092,10000.0
Dropcam,0.0,0.0,0.0,10000.0
HP Printer,0.9782665050641833,1.0,0.9889930219171996,5367.0
Light Bulbs LiFX Smart Bulb,0.9253511969653557,1.0,0.9602657673957555,10000.0
MacBook,0.415476314506416,0.9989949748743718,0.557844059279214,2985.0
NEST Protect smoke alarm,0.03749479477073574,0.9829268292682924,0.0722338382141368,410.0
Netatmo Welcome,0.9941912713884253,0.9963600000000001,0.9952696636326575,10000.0
Netatmo weather station,0.9934906790886187,0.9060074165636589,0.9476175116126508,4045.0
PIX-STAR Photo-frame,0.9988241881298994,1.0,0.9994086172909039,3530.0
Phillip Hue Lightbulb,0.993831930824637,0.89028,0.939173663976921,10000.0
Samsung Galaxy Tab,0.3920052969610925,1.0,0.5576164579373835,10000.0
Samsung SmartCam,0.9403325060772556,0.9862199999999998,0.9625469207120012,10000.0
Smart Things,1.0,1.0,1.0,10000.0
TP-Link Day Night Cloud camera,0.9063948923910699,0.7434604519774012,0.8168417433205798,7080.0
TP-Link Smart plug,0.852786432539608,1.0,0.9205268293761308,2412.0
TPLink Router Bridge LAN,0.9803248847812315,0.83306,0.8929797384913428,10000.0
Triby Speaker,0.9859693877551019,1.0,0.9929351316634552,5411.0
iHome,1.0,1.0,1.0,6031.0
accuracy,0.7530371142804458,0.7530371142804458,0.7530371142804458,0.7530371142804458
macro avg,0.7333501725463842,0.8080014129849393,0.7320935937599334,157271.0
weighted avg,0.7388979948063575,0.7530371142804458,0.7283396214699159,157271.0
