,precision,recall,f1-score,support
Amazon Echo,0.29270053427664355,0.54024,0.37686824027665705,1000.0
Awair air quality monitor,0.0,0.0,0.0,1000.0
Belkin Wemo switch,0.751997978392343,0.6681200000000002,0.7059386854647278,1000.0
Belkin wemo motion sensor,0.3379816583621361,0.19932000000000002,0.2505144111971494,1000.0
Dropcam,0.81307596650359,0.8823200000000001,0.844337614221435,1000.0
HP Printer,0.4631133195348611,0.33868000000000004,0.39041921965969556,1000.0
Light Bulbs LiFX Smart Bulb,0.23806367079420546,0.48944000000000004,0.3180212618062012,1000.0
MacBook,0.7295939995107433,0.13276,0.22430046957953334,1000.0
NEST Protect smoke alarm,0.721025174141776,0.8763470319634705,0.790726758805206,219.0
Netatmo Welcome,0.8060431880314312,0.53264,0.6405888677978291,1000.0
Netatmo weather station,0.33634096084668164,0.26664,0.2933336320891512,1000.0
PIX-STAR Photo-frame,0.4452563254703968,0.4028799999999999,0.4224825634697406,1000.0
Phillip Hue Lightbulb,0.7140955383851832,0.88432,0.7900759596700481,1000.0
Samsung Galaxy Tab,0.2994410395364368,0.47056000000000003,0.3645480716894066,1000.0
Samsung SmartCam,0.649697228278364,0.5334800000000001,0.5850950251095061,1000.0
Smart Things,0.6763034459427493,0.8838799999999999,0.7659943511590115,1000.0
TP-Link Day Night Cloud camera,0.7630559732123259,0.8255199999999999,0.7920258710483179,1000.0
TP-Link Smart plug,0.47662921772941097,0.5805199999999999,0.5228366313179484,1000.0
TPLink Router Bridge LAN,0.3367237710475578,0.42655999999999994,0.3740591169353902,1000.0
Triby Speaker,0.2888412004963043,0.26052,0.2681002490444742,1000.0
iHome,0.18082635348399026,0.07180000000000002,0.10220880782541243,1000.0
accuracy,0.4739166130867006,0.4739166130867006,0.4739166130867006,0.4739166130867006
macro avg,0.49146697828462527,0.4888831919982605,0.4677369432460401,20219.0
weighted avg,0.4825998260533361,0.4739166130867006,0.4552608046659073,20219.0
