,precision,recall,f1-score,support
Amazon Echo,0.5449200877041859,0.5565599999999999,0.5495593286066136,1000.0
Awair air quality monitor,0.040732913629753134,0.008680000000000002,0.014308517793338183,1000.0
Belkin Wemo switch,0.32985686644886103,0.3622000000000001,0.34080717605058447,1000.0
Belkin wemo motion sensor,0.2662540024652542,0.26364,0.26392909637611806,1000.0
Dropcam,0.7651116267195046,0.5353600000000001,0.6291511236956443,1000.0
HP Printer,0.6659605474446286,0.46560000000000007,0.5469344155705191,1000.0
Light Bulbs LiFX Smart Bulb,0.8254713197507446,0.43564,0.5699959256126921,1000.0
MacBook,0.23880714567384545,0.65936,0.3500018042652815,1000.0
NEST Protect smoke alarm,0.8823585920008759,0.746666666666667,0.8085338729695839,273.0
Netatmo Welcome,0.3049344967416866,0.18075999999999998,0.22412869034633345,1000.0
Netatmo weather station,0.7746102058118619,0.7168799999999999,0.7444612775241507,1000.0
PIX-STAR Photo-frame,0.7882758572907346,0.74276,0.7636383100498888,1000.0
Phillip Hue Lightbulb,0.7579732139307285,0.5892400000000001,0.6626436473709219,1000.0
Samsung Galaxy Tab,0.20531639699340623,0.28212,0.23715266892888895,1000.0
Samsung SmartCam,0.5708806261824322,0.3960000000000001,0.4670841511638369,1000.0
Smart Things,0.7936017579342121,0.30387999999999993,0.43563445018057073,1000.0
TP-Link Day Night Cloud camera,0.8332082878148932,0.7174399999999999,0.7700491054846006,1000.0
TP-Link Smart plug,0.818708983796495,0.92396,0.8678350112505232,1000.0
TPLink Router Bridge LAN,0.21141302664446152,0.7607999999999998,0.3308114785475142,1000.0
Triby Speaker,0.43007459217897287,0.08055999999999999,0.13549522315447063,1000.0
iHome,0.7568910866199494,0.31468,0.4443583212724913,1000.0
accuracy,0.4686015883194397,0.4686015883194397,0.4686015883194397,0.4686015883194397
macro avg,0.562160077798928,0.4782279365079365,0.483643504581646,20273.0
weighted avg,0.5506775976615623,0.4686015883194397,0.4719927721879189,20273.0
