,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,1966,38,91,84,569,742,61,70,0,327,19,196,126,16,3,4,244,5,8,0,17
1,30,21,326,2,0,1236,18,0,180,0,30,161,60,295,1099,6,0,0,1,1,201
2,348,0,1474,170,22,516,0,0,178,101,26,0,967,0,75,42,458,44,57,1,0
3,44,4,694,831,2,350,0,0,132,350,16,0,1514,1,9,338,117,33,355,0,0
4,9,0,6,0,2989,0,0,0,0,0,4,0,917,0,0,0,978,0,0,0,0
5,83,68,0,0,0,911,0,7,1522,6,92,0,212,220,4,0,119,380,500,89,0
6,208,77,167,124,0,0,1873,0,0,315,160,0,10,239,24,50,0,0,448,0,0
7,603,33,405,5,307,11,0,187,6,128,18,66,2079,259,0,0,224,3,28,229,189
8,1,13,118,11,0,46,0,4,65,0,38,5,0,0,39,0,0,1,1,4,0
9,2165,40,12,5,535,119,4,16,146,957,16,4,15,0,486,1,39,37,2,0,4
10,93,471,259,138,0,2,30,3,0,0,2258,0,0,3,57,20,23,0,133,281,0
11,512,0,1,0,46,0,7,14,36,0,402,710,0,0,1,0,0,9,1,1,10
12,139,0,128,0,79,17,7,9,1,77,0,89,2947,104,35,102,13,1,186,66,285
13,1758,22,110,142,345,9,570,719,20,33,94,104,241,129,323,5,21,5,93,87,131
14,642,94,745,138,279,183,12,20,94,4,15,114,452,83,990,111,80,23,568,0,4
15,0,0,57,1257,0,0,0,9,0,0,11,0,264,0,0,2163,0,0,365,10,0
16,58,449,56,37,49,302,1,5,0,27,73,36,98,11,244,0,646,662,0,0,1
17,30,130,271,53,0,411,20,13,17,20,297,71,0,5,104,0,0,1124,4,2,0
18,2,0,101,50,0,103,26,1,34,1327,9,1,773,8,19,52,23,9,2097,33,0
19,53,13,31,2,1,37,2,31,4,0,252,115,3,0,51,0,0,0,213,1457,58
20,932,0,1,0,0,82,0,0,49,0,136,6,38,548,0,0,0,12,1,4,694
