,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,3455,0,958,3,13,3,0,0,0,6,17,6,23,3,7,0,9,55,0,0,0
1,0,3520,1,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,2,0
2,6,0,88,2257,11,4,0,0,237,0,54,0,0,11,1714,0,47,2,12,0,0
3,2,0,26,4225,5,1,0,0,157,0,14,0,0,5,141,0,40,1,1,0,0
4,0,0,0,0,2460,0,0,0,0,0,6,0,0,1496,0,0,0,467,359,0,0
5,42,0,0,1,0,1242,0,1,2572,0,101,1,0,0,316,1,0,0,3,5,6
6,0,116,0,0,0,0,2902,0,0,0,92,1,0,0,0,0,0,0,1,0,0
7,67,64,0,8,0,45,0,728,24,25,14,6,886,890,4,0,1,0,1998,41,60
8,0,0,0,0,0,0,0,2,186,0,22,0,0,0,0,0,0,0,0,0,2
9,2,0,280,1,0,0,0,0,238,3500,31,136,6,9,0,0,1,12,0,0,0
10,0,0,0,0,0,0,0,0,1,0,3630,0,0,0,0,0,0,0,0,0,20
11,3,0,0,0,0,23,0,0,91,563,367,2573,4,7,23,0,1,1,23,21,0
12,98,0,0,253,90,0,0,11,0,1,0,13,3532,30,0,0,15,69,262,173,0
13,24,0,1,0,8,1,0,4,14,10,255,1,35,3367,2,0,12,8,28,13,0
14,49,0,296,7,0,198,0,0,142,15,22,5,0,89,2571,0,155,26,1048,5,0
15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3652,0,0,6,0,0
16,42,0,354,276,158,42,0,0,0,3,75,26,54,23,0,0,2009,303,49,0,0
17,34,0,1,4,0,0,0,0,0,5,202,29,0,0,4,0,0,1767,1,1,0
18,49,0,107,41,17,4,7,13,68,36,7,9,38,21,4,203,9,30,4007,1,0
19,58,0,2,0,0,0,0,0,0,0,163,2,1,0,211,0,0,1,1,1983,0
20,0,0,0,0,0,0,0,0,3,0,149,0,0,0,0,0,0,0,0,0,2997
