,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,3589,0,0,0,0,16,196,0,0,4,0,6,8,202,20,0,520,8,0,0,0
1,0,3287,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,351,0,2114,981,0,0,0,0,0,42,0,0,0,0,120,0,243,105,17,26,0
3,14,0,920,3862,0,1,0,3,0,4,10,0,0,6,34,0,26,58,16,0,0
4,0,0,3,4,3094,0,0,0,0,0,0,0,28,1613,0,0,0,0,0,0,0
5,0,0,0,0,0,2773,0,27,0,0,8,3,1,0,4,0,0,0,0,0,0
6,0,0,0,0,0,0,4040,0,0,0,3,0,0,0,0,0,0,0,0,0,0
7,2,0,0,0,0,5,0,2086,0,4,3,0,19,69,0,0,0,0,0,0,1
8,0,0,0,0,0,10,0,6,181,0,48,0,0,0,0,0,0,0,0,0,17
9,21,0,0,0,0,2,0,0,0,870,7,1,5,3,1,0,0,14,3952,0,0
10,0,0,0,0,0,0,0,0,41,0,1973,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,1012,13,2366,111,4,23,0,4,0,0,0,0
12,432,0,0,0,0,0,0,0,0,4,0,9,4175,0,1,0,9,8,68,4,0
13,7,0,0,2,0,0,0,1,0,28,49,34,6,4533,34,0,5,2,159,0,0
14,0,0,26,0,0,60,0,0,0,0,0,0,0,4,4532,0,18,55,24,37,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3734,0,0,0,0,0
16,709,0,3,0,0,0,0,0,0,0,1,0,1,0,6,0,2680,1,0,0,0
17,67,0,0,0,0,0,0,0,0,2,4,39,11,0,0,0,0,2314,0,0,0
18,0,0,0,0,0,0,4,1,0,0,18,0,2,1,1992,250,0,1,2701,0,0
19,3,0,0,0,0,2,3,14,0,1,3,81,113,282,31,0,0,2,0,3711,0
20,0,0,0,0,0,25,0,54,6,0,4,0,0,0,0,0,0,0,0,0,2988
