,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,4644,43,89,282,0,72,370,591,1,50,3,273,1134,1167,127,3,174,860,103,14,0
1,39,218,0,7,0,0,15,0,0,2,0,6,23,45,0,526,17,1,29,2,0
2,23,0,3315,3575,0,5,5,29,0,0,133,5,39,80,25,0,1,0,266,0,0
3,11,0,500,9075,0,5,5,2,0,3,57,16,98,51,43,0,30,0,104,0,0
4,0,0,0,0,1433,0,0,0,1,0,0,3,0,0,5,1,0,0,0,0,0
5,2,0,1,4,0,920,0,0,0,1,0,8,0,202,6,0,0,0,7,46,1
6,1229,123,0,1,0,9,839,15,0,0,0,19,163,783,1,5,32,8,25,17,72
7,336,20,57,219,29,17,95,472,22,97,0,205,298,845,80,7,41,112,140,14,41
8,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
9,33,5,73,27,0,1,124,2,0,777,969,47,11,57,5,7,3,18,1266,19,0
10,0,15,18,14,0,0,3,7,1,3,148,1,5,173,29,1,3,0,294,0,0
11,10,0,2,22,0,2,43,0,3,13,0,431,211,149,20,0,88,10,40,7,0
12,15,15,19,1206,0,39,517,3,0,30,0,149,2045,317,17,0,100,3,95,147,11
13,191,32,66,169,0,22,40,77,4,42,6,104,76,828,43,9,9,37,98,16,11
14,270,9,875,191,0,2,19,135,0,12,0,71,344,511,3561,0,43,11,426,29,11
15,103,360,8,49,0,0,16,0,0,44,72,73,0,0,0,1218,8,4,4,3,1
16,71,27,0,1,0,0,3,52,0,1,1,12,38,32,0,1,1178,1,0,1,1
17,40,5,119,22,0,1,12,16,8,2,2,39,21,113,71,0,2,467,21,22,2
18,662,427,648,425,211,416,350,52,2,75,9,62,683,460,770,37,11,94,4468,14,7
19,8,0,300,7,0,23,173,1,0,2,0,41,178,22,6,10,29,133,8,9,0
20,6,0,5,3,0,3,21,2,0,0,0,3,6,312,0,0,101,0,0,1,180
