,precision,recall,f1-score,support
Amazon Echo,0.8121840242669363,0.6426,0.7175078159892809,10000.0
Awair air quality monitor,0.21359223300970873,0.020676691729323307,0.037703513281919454,1064.0
Belkin Wemo switch,0.1910800174901618,0.3861561119293078,0.25565522620904835,3395.0
Belkin wemo motion sensor,0.8399678972712682,0.5233,0.6448552064078866,10000.0
Dropcam,0.9551374819102749,0.909090909090909,0.931545518701482,726.0
HP Printer,0.9968879668049793,0.5629759812536614,0.7195806813927368,1707.0
Light Bulbs LiFX Smart Bulb,0.5433369447453954,0.2825352112676056,0.37175685693106003,3550.0
MacBook,0.02313006908981676,0.41621621621621624,0.043824701195219126,185.0
NEST Protect smoke alarm,0.19387755102040816,0.021814006888633754,0.0392156862745098,871.0
Netatmo Welcome,0.2857624831309042,0.55,0.3761101243339254,1540.0
Netatmo weather station,0.22291993720565148,0.331002331002331,0.26641651031894936,429.0
PIX-STAR Photo-frame,0.5227765726681128,0.23106423777564716,0.3204787234042553,1043.0
Phillip Hue Lightbulb,0.4669562519391871,0.3828055449573954,0.42071423579565315,7863.0
Samsung Galaxy Tab,0.43524686520376177,0.4443,0.4397268408551069,10000.0
Samsung SmartCam,0.5682656826568265,0.6412849494348603,0.6025712688652879,5043.0
Smart Things,0.6349493487698987,0.6885052961945861,0.6606437041219649,2549.0
TP-Link Day Night Cloud camera,0.8568568568568569,0.9039070749736009,0.8797533401849948,947.0
TP-Link Smart plug,0.4609053497942387,0.7044025157232704,0.5572139303482587,954.0
TPLink Router Bridge LAN,0.39164719626168226,0.5364,0.45273463875759623,10000.0
Triby Speaker,0.25925925925925924,0.015475313190862197,0.02920723226703755,2714.0
iHome,0.5646879756468798,0.9464285714285714,0.7073403241182078,1568.0
accuracy,0.4964280086148028,0.4964280086148028,0.4964280086148028,0.4964280086148028
macro avg,0.4971156173810575,0.48290195062175145,0.45116933713116103,76148.0
weighted avg,0.5547177320707679,0.4964280086148028,0.5034224206080467,76148.0
