,precision,recall,f1-score,support
Amazon Echo,0.8128898128898129,0.2346,0.3641160949868074,10000.0
Awair air quality monitor,0.8921568627450981,0.5986842105263158,0.7165354330708661,1064.0
Belkin Wemo switch,0.15083333333333335,0.10662739322533137,0.12493528904227783,3395.0
Belkin wemo motion sensor,0.7358576642335767,0.3226,0.4485539488320356,10000.0
Dropcam,0.874390243902439,0.987603305785124,0.9275549805950842,726.0
HP Printer,0.28002309468822173,0.28412419449326304,0.28205873800523407,1707.0
Light Bulbs LiFX Smart Bulb,0.4987804878048781,0.2304225352112676,0.3152215799614644,3550.0
MacBook,0.005988023952095809,0.016216216216216217,0.008746355685131196,185.0
NEST Protect smoke alarm,0.001644436323771241,0.010332950631458095,0.0028373266078184113,871.0
Netatmo Welcome,0.34548335974643424,0.14155844155844155,0.20082911100875173,1540.0
Netatmo weather station,0.011793723244407904,0.9696969696969697,0.023304016581704105,429.0
PIX-STAR Photo-frame,0.0013986013986013986,0.0019175455417066154,0.0016174686615446827,1043.0
Phillip Hue Lightbulb,0.2747747747747748,0.04654711942006868,0.07960848287112561,7863.0
Samsung Galaxy Tab,0.9245283018867925,0.0098,0.019394419156936474,10000.0
Samsung SmartCam,0.4093154551870148,0.2300218124132461,0.29452837374635016,5043.0
Smart Things,0.8068820224719101,0.4507650058846607,0.5784042285426629,2549.0
TP-Link Day Night Cloud camera,0.12745983029427693,0.7455121436114044,0.2176996608078939,947.0
TP-Link Smart plug,0.0,0.0,0.0,954.0
TPLink Router Bridge LAN,0.2955665024630542,0.006,0.011761246692149369,10000.0
Triby Speaker,0.07551062512894574,0.1348563006632277,0.09681259092712605,2714.0
iHome,0.7762085822922324,0.9113520408163265,0.8383690231739515,1568.0
accuracy,0.191377317854704,0.191377317854704,0.191377317854704,0.191377317854704
macro avg,0.39530884470293676,0.30663038979500135,0.26442325566461505,76148.0
weighted avg,0.5305266926058237,0.191377317854704,0.23103517626917808,76148.0
