,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,3107,0,0,2,0,0,0,64,0,1,0,0,11,937,4,0,2,60,103,0,0
1,0,149,0,0,0,0,814,0,0,0,4,0,1,112,0,0,0,0,0,0,0
2,0,144,2044,458,0,0,0,0,0,2,0,0,2,1,9,0,0,0,0,0,0
3,7,0,2639,7297,0,0,0,3,0,3,0,0,0,20,14,1,16,0,0,0,0
4,0,0,0,0,1305,0,1,0,0,1,0,0,0,0,6,0,0,0,0,0,0
5,164,0,1,255,0,463,0,78,0,3,0,0,5,499,1,0,0,0,2,0,0
6,0,3,0,0,0,0,1728,1,0,0,0,0,0,19,0,0,0,0,0,1,0
7,151,0,0,376,0,0,0,223,15,2,0,0,1,17,2,0,2,0,1,0,116
8,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,4
9,7,0,0,0,0,0,0,1,0,1747,0,0,17,6,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,227,0,0,126,0,0,0,0,0,0,0
11,83,0,0,0,0,0,0,155,0,0,0,594,1,161,8,0,0,0,0,0,0
12,222,0,0,395,0,0,0,98,0,29,0,0,3249,330,24,0,17,21,2210,9,13
13,28,0,0,136,0,0,0,665,0,16,0,0,7,4162,586,0,0,0,0,0,0
14,68,0,0,103,0,0,0,16,0,7,0,0,2,2,4395,0,0,1,0,0,0
15,525,0,0,2,0,0,852,0,1,0,0,0,0,0,0,887,0,0,115,0,0
16,1,3,0,0,0,0,0,23,0,1,0,1,1,50,1,0,747,4,0,0,0
17,5,7,0,0,0,0,0,26,0,1,0,0,1,47,0,0,0,795,0,0,0
18,0,0,1033,2575,0,0,11,13,0,0,0,0,6,212,37,0,0,0,6113,0,0
19,2,3,0,0,0,0,0,75,0,236,0,1,341,439,0,0,13,8,0,65,1
20,0,0,0,0,0,0,0,43,0,0,0,0,0,43,0,0,0,0,0,0,1311
