,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,8819,0,3,673,1,2,0,46,24,11,0,152,69,43,9,0,1,16,20,0,111
1,0,51,0,5041,0,4767,58,0,4,0,79,0,0,0,0,0,0,0,0,0,0
2,0,0,106,9349,0,0,0,0,536,0,0,0,0,0,7,0,2,0,0,0,0
3,0,0,9,8513,0,0,0,475,307,0,0,1,0,0,1,0,2,692,0,0,0
4,0,0,3081,2723,4179,0,0,0,0,0,0,0,0,0,0,11,2,4,0,0,0
5,0,0,0,2,0,3160,1,12,6632,0,0,0,0,18,2,0,4,0,169,0,0
6,0,1,0,0,0,4,9712,0,17,0,140,0,0,124,0,0,0,0,2,0,0
7,31,6,0,129,0,39,2,9027,36,0,0,11,9,31,8,0,26,0,625,16,4
8,4,0,0,0,0,20,0,3,316,0,8,0,0,0,0,0,0,0,0,0,0
9,72,0,0,11,0,0,0,78,383,2517,0,16,0,65,0,0,6,1,6851,0,0
10,0,0,0,2310,0,0,0,0,1838,0,5549,73,0,0,0,6,82,15,0,0,127
11,108,0,0,0,0,0,0,6,66,0,0,1379,0,0,0,0,100,94,1,0,1
12,105,0,0,1,0,0,0,3461,64,24,0,3,4643,0,0,0,1,0,887,811,0
13,480,0,29,427,94,296,0,422,81,6,0,43,17,6823,484,54,20,50,661,8,5
14,4,0,0,889,0,412,0,1,240,11,0,1,1,1042,7221,0,174,0,4,0,0
15,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,9997,0,0,0,0,0
16,0,0,88,1770,0,0,0,0,0,0,0,7,0,0,0,0,3639,9,0,0,0
17,0,0,52,318,0,0,0,0,0,0,0,61,0,0,0,0,41,2106,0,0,0
18,1585,14,6,53,15,48,1,145,92,198,0,243,6,297,816,1,9,3,6297,166,5
19,5,0,16,1106,0,0,0,43,0,0,0,39,2,0,0,0,31,18,3127,2683,0
20,0,0,0,83,0,8,0,20,139,0,2,70,2,1,2,0,38,27,7,0,4494
