,precision,recall,f1-score,support
Amazon Echo,0.049204052098408106,0.0033999999999999994,0.006360490131886634,10000.0
Awair air quality monitor,0.0,0.0,0.0,10000.0
Belkin Wemo switch,0.48991541964866625,0.1506,0.23038090867370356,10000.0
Belkin wemo motion sensor,0.0,0.0,0.0,10000.0
Dropcam,0.987434803224277,0.4165,0.5858770572513715,10000.0
HP Printer,0.0,0.0,0.0,10000.0
Light Bulbs LiFX Smart Bulb,0.2295089889812488,0.4749,0.3094617489899648,10000.0
MacBook,0.0,0.0,0.0,10000.0
NEST Protect smoke alarm,0.0,0.0,0.0,351.0
Netatmo Welcome,0.5292117953988458,0.6694,0.5911077751777121,10000.0
Netatmo weather station,0.26739690721649484,0.332,0.29621698786581013,10000.0
PIX-STAR Photo-frame,0.08850873930829305,0.1356125356125356,0.10711071107110712,1755.0
Phillip Hue Lightbulb,0.20644558617468473,0.3536,0.26069006192863464,10000.0
Samsung Galaxy Tab,0.014675907052588666,0.0072,0.00966053938011539,10000.0
Samsung SmartCam,0.6864910790144435,0.404,0.5086559647466163,10000.0
Smart Things,0.18035909099313993,0.9754000000000002,0.304427209313213,10000.0
TP-Link Day Night Cloud camera,0.10452063106796117,0.1249773263196082,0.11383725733168112,5513.0
TP-Link Smart plug,0.19863081654926085,0.7765709852598914,0.316346685628506,2578.0
TPLink Router Bridge LAN,0.027370855821125674,0.0071,0.011275210417659203,10000.0
Triby Speaker,0.5950958170203997,0.8169731258840169,0.6886027658559848,7070.0
iHome,0.9944395017793595,0.9137543429388923,0.9523910959633615,4893.0
accuracy,0.29691565985130114,0.29691565985130114,0.29691565985130114,0.29691565985130114
macro avg,0.269009999588057,0.31247563409594975,0.2520191652251108,172160.0
weighted avg,0.2729837946468842,0.29691565985130114,0.2457058351479266,172160.0
