,precision,recall,f1-score,support
Amazon Echo,0.9395951590446611,0.8773,0.9073796348968299,10000.0
Awair air quality monitor,1.0,0.0044,0.008761449621664676,10000.0
Belkin Wemo switch,0.0,0.0,0.0,10000.0
Belkin wemo motion sensor,0.43992932862190814,0.6474,0.5238711765657873,10000.0
Dropcam,0.0,0.0,0.0,10000.0
HP Printer,0.9904868494683827,0.354,0.5215853838220127,10000.0
Light Bulbs LiFX Smart Bulb,0.9945090439276486,0.9692549842602308,0.981719630141354,9530.0
MacBook,0.9348994624726259,0.4696,0.6251747320774812,10000.0
NEST Protect smoke alarm,0.9459459459459459,0.6572769953051644,0.775623268698061,213.0
Netatmo Welcome,1.0,0.3438,0.511683286203304,10000.0
Netatmo weather station,0.9330072624870313,0.6295,0.7517764375709082,10000.0
PIX-STAR Photo-frame,0.5112792897685926,0.9486902511477181,0.6644599962171364,3703.0
Phillip Hue Lightbulb,0.9947401641068798,0.4728,0.6409543821595608,10000.0
Samsung Galaxy Tab,0.13545742766559082,0.9485,0.23705980855264802,10000.0
Samsung SmartCam,0.8398235800344234,0.7807,0.8091832504145937,10000.0
Smart Things,1.0,0.9673,0.9833782341279926,10000.0
TP-Link Day Night Cloud camera,0.9800184445127574,0.4721563981042654,0.6372813593203398,6752.0
TP-Link Smart plug,0.751357220412595,0.6747927840078011,0.7110197790906756,2051.0
TPLink Router Bridge LAN,0.10845964768537485,0.1059,0.1071645415907711,10000.0
Triby Speaker,0.9326732673267327,0.1282155982033483,0.22543975110685652,7347.0
iHome,0.7385355966556879,0.9251031418597271,0.8213581290504367,3151.0
accuracy,0.505542788007896,0.505542788007896,0.505542788007896,0.505542788007896
macro avg,0.7224151281017542,0.541747150137536,0.5449940110108769,172747.0
weighted avg,0.7066635487593232,0.505542788007896,0.5109602192488049,172747.0
