,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,8773,0,0,126,0,0,0,0,0,0,0,69,19,1003,0,0,0,8,0,2,0
1,0,44,0,0,0,0,51,0,0,0,84,0,0,9821,0,0,0,0,0,0,0
2,1,0,0,7340,0,0,0,0,0,0,38,63,0,1010,1046,0,0,0,502,0,0
3,0,0,0,6474,0,0,0,0,0,0,0,4,0,2539,176,0,0,449,358,0,0
4,0,0,0,0,0,0,0,0,0,0,0,19,0,9981,0,0,0,0,0,0,0
5,0,0,0,0,0,3540,0,0,0,0,0,0,0,346,0,0,0,0,6114,0,0
6,0,0,0,0,0,0,9237,0,0,0,288,0,0,5,0,0,0,0,0,0,0
7,10,0,0,8,0,32,0,4696,8,0,1,5,0,5207,0,0,0,0,26,1,6
8,0,0,0,0,0,0,0,4,140,0,10,0,0,53,0,0,0,0,4,0,2
9,47,0,0,5,0,0,0,0,0,3438,1,65,0,5847,0,0,0,0,577,20,0
10,0,0,0,0,0,0,0,0,0,0,6295,1744,0,937,0,0,0,0,0,0,1024
11,1,0,0,0,0,0,0,0,0,0,23,3513,0,70,0,0,1,0,91,4,0
12,94,0,0,2,0,0,0,261,0,0,0,1,4728,4194,0,0,0,0,681,39,0
13,27,0,0,8,0,2,0,52,0,0,6,340,1,9485,4,0,0,0,73,2,0
14,0,0,1,194,0,0,0,0,0,0,0,44,5,1610,7807,0,59,1,279,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,327,0,9673,0,0,0,0,0
16,0,0,0,238,0,0,0,0,0,0,0,144,0,3176,6,0,3188,0,0,0,0
17,27,0,0,300,0,0,0,0,0,0,1,228,0,71,40,0,0,1384,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,8719,217,0,5,0,1059,0,0
19,357,0,0,21,0,0,0,0,0,0,0,488,0,5539,0,0,0,0,0,942,0
20,0,0,0,0,0,0,0,10,0,0,0,144,0,82,0,0,0,0,0,0,2915
