,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,181,111,45,4,0,27,99,10,30,1,95,105,1,130,155,0,0,0,0,0,0
1,0,85,0,0,20,0,0,0,491,0,178,17,8,0,198,0,0,0,0,0,0
2,8,0,29,1,52,29,0,376,1,0,0,2,418,19,62,0,0,0,0,0,0
3,9,0,1,0,44,5,0,738,0,0,0,2,84,35,78,0,0,0,0,0,0
4,44,12,4,0,519,1,71,80,2,0,0,66,8,0,188,0,0,0,0,0,0
5,95,29,134,0,1,71,62,10,16,74,75,343,13,28,44,0,0,0,0,0,0
6,98,7,174,0,0,106,89,0,1,7,28,293,0,119,0,0,0,0,0,0,0
7,34,0,7,0,0,2,0,736,1,2,5,6,36,79,88,0,0,0,0,0,0
8,0,19,7,0,22,9,4,0,103,3,27,34,0,18,37,0,0,0,0,0,0
9,81,0,25,7,4,122,0,191,5,307,85,95,15,34,23,0,0,0,0,0,0
10,0,7,25,0,0,11,0,0,22,38,184,120,0,26,10,0,0,0,0,0,0
11,59,123,53,0,0,30,20,0,121,23,149,308,0,104,6,0,0,0,0,0,0
12,2,1,0,0,179,2,0,37,4,0,5,1,72,0,693,0,0,0,0,0,0
13,2,0,144,0,0,158,146,26,3,15,10,90,2,386,13,0,0,0,0,0,0
14,0,18,0,0,26,0,0,0,210,0,354,18,0,0,372,0,0,0,0,0,0
15,35,17,157,0,4,59,68,0,7,59,139,230,0,213,8,0,0,0,0,0,0
16,26,2,68,0,0,19,32,0,26,12,105,166,0,56,0,0,0,0,0,0,0
17,43,312,29,0,7,7,63,0,55,0,133,293,0,34,17,0,0,0,0,0,0
18,16,16,50,0,291,65,75,77,6,9,47,24,44,97,179,0,0,0,0,0,0
19,44,0,4,0,1,16,0,23,43,2,12,40,34,57,95,0,0,0,0,0,0
20,0,0,130,0,0,114,99,0,2,9,148,338,0,156,0,0,0,0,0,0,0
