,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,393,21,4,5,1,86,18,10,1,23,2,49,3,64,30,52,32,162,35,8,1
1,57,10,0,1,1,13,0,420,3,2,0,8,0,3,7,119,16,19,320,1,0
2,0,0,736,76,1,83,0,1,0,31,5,2,33,0,1,7,0,3,13,8,0
3,38,2,28,395,0,29,12,97,3,38,1,22,2,208,1,3,21,23,60,13,4
4,8,0,0,0,883,3,18,8,0,5,4,0,1,0,0,30,3,5,22,10,0
5,14,0,8,6,1,129,97,1,5,482,2,21,2,20,4,9,76,50,52,10,11
6,29,1,0,0,5,127,124,1,6,35,27,11,0,11,0,197,50,44,163,0,169
7,27,65,15,51,32,6,0,323,122,1,3,14,49,84,65,1,0,7,63,70,2
8,0,2,0,0,0,0,2,2,204,0,2,0,0,1,0,0,0,2,4,0,0
9,15,2,79,108,0,36,26,6,1,339,0,8,1,10,3,76,17,38,223,5,7
10,27,12,1,0,0,67,4,38,2,24,212,57,1,8,0,98,301,108,34,0,6
11,74,0,4,4,0,21,2,13,1,10,85,428,2,142,5,62,6,99,38,1,3
12,12,9,35,7,13,17,0,34,0,1,0,5,770,0,39,0,3,4,7,41,3
13,68,70,9,15,6,27,1,192,32,21,38,91,30,74,21,16,17,134,52,60,26
14,5,9,0,1,1,8,0,6,12,19,2,10,463,20,363,0,0,4,58,18,1
15,3,0,0,1,98,10,76,0,4,1,3,1,0,0,3,650,4,7,133,0,6
16,120,8,0,0,0,26,7,0,1,4,216,8,0,10,0,15,408,42,127,0,8
17,151,32,0,5,2,21,6,2,20,6,2,22,8,28,3,11,33,565,62,17,4
18,47,26,27,38,22,11,12,43,31,14,3,12,59,64,179,63,3,23,296,20,7
19,64,0,1,1,38,93,1,12,1,61,31,12,43,60,22,32,4,61,50,413,0
20,1,2,1,0,1,2,4,0,10,23,0,0,0,8,0,93,1,10,299,0,545
