,precision,recall,f1-score,support
Amazon Echo,0.6103827183255017,0.8946000000000002,0.7256143654715582,1000.0
Awair air quality monitor,0.06642123351072245,0.003,0.005740186131291359,1000.0
Belkin Wemo switch,0.8067231804136192,0.9084,0.8545145911679428,1000.0
Belkin wemo motion sensor,0.6881362178795791,0.6275999999999999,0.6563400195786688,1000.0
Dropcam,0.990841516484758,0.994,0.9924149476696495,1000.0
HP Printer,0.7099987808768411,0.4539999999999999,0.5499020518208326,1000.0
Light Bulbs LiFX Smart Bulb,0.5185232950854018,0.9008,0.6576858475055261,1000.0
MacBook,0.7952871109509179,0.1856,0.30084035580699275,1000.0
NEST Protect smoke alarm,0.30131773743152046,0.9780821917808218,0.45524931450967465,219.0
Netatmo Welcome,0.8974249642864078,0.6994,0.7860816973482014,1000.0
Netatmo weather station,0.8940377926049798,0.7014,0.7859907025031294,1000.0
PIX-STAR Photo-frame,0.7622755111962525,0.8251999999999999,0.7924000447135993,1000.0
Phillip Hue Lightbulb,0.8950727253151831,0.8361999999999998,0.8645063729312593,1000.0
Samsung Galaxy Tab,0.40102349610443555,0.575,0.4723829328745941,1000.0
Samsung SmartCam,0.8734600509355559,0.8311999999999999,0.8514385335327489,1000.0
Smart Things,0.8982474951576853,0.9944,0.9437668898772434,1000.0
TP-Link Day Night Cloud camera,0.9815338405354279,0.9024000000000001,0.9402955099687185,1000.0
TP-Link Smart plug,0.8840862064821602,0.7738,0.8252381675723941,1000.0
TPLink Router Bridge LAN,0.3305827476662866,0.6098,0.42841047506181695,1000.0
Triby Speaker,0.7495622999847081,0.6292,0.6835023749243356,1000.0
iHome,0.8587335614488106,0.6324,0.7281850159897141,1000.0
accuracy,0.7019437163064444,0.7019437163064444,0.7019437163064444,0.7019437163064444
macro avg,0.7101748801274645,0.7122134377038487,0.6809762093790426,20219.0
weighted avg,0.7259678188705048,0.7019437163064444,0.6896953698168968,20219.0
