,precision,recall,f1-score,support
Amazon Echo,0.39144893111638956,0.7213832348435106,0.5075063515282163,4569.0
Awair air quality monitor,0.9272326350606395,0.5115571776155717,0.6593492747941984,3288.0
Belkin Wemo switch,0.7478439425051334,0.45536384096024013,0.5660553310537768,3999.0
Belkin wemo motion sensor,0.8061683006535947,0.7967299152200242,0.8014213197969543,4954.0
Dropcam,0.8693254916375667,0.9974694221847322,0.92899931257979,4742.0
HP Printer,0.5462962962962963,0.16761363636363635,0.2565217391304348,2816.0
Light Bulbs LiFX Smart Bulb,0.920479302832244,0.8360128617363344,0.8762151652624757,4043.0
MacBook,0.13757575757575757,0.20740063956144356,0.16542175259610128,2189.0
NEST Protect smoke alarm,0.7628458498023716,0.7366412213740458,0.7495145631067961,262.0
Netatmo Welcome,0.4188963210702341,0.10274815422477439,0.1650197628458498,4876.0
Netatmo weather station,0.5179632980098217,0.9950347567030786,0.6812850586435493,2014.0
PIX-STAR Photo-frame,0.6807909604519774,0.2728559298046986,0.38957365124267535,3533.0
Phillip Hue Lightbulb,0.6966055239300021,0.7014861995753715,0.6990373426425472,4710.0
Samsung Galaxy Tab,0.4477553420897863,0.46995884773662555,0.4585884951310109,4860.0
Samsung SmartCam,0.6093662366797532,0.456896551724138,0.5222302331170392,4756.0
Smart Things,0.8632195618950587,0.907605784681307,0.8848563968668406,3734.0
TP-Link Day Night Cloud camera,0.25518788558609085,0.13378418112319906,0.17554012345679013,3401.0
TP-Link Smart plug,0.710635579687001,0.913007796471071,0.7992097701149425,2437.0
TPLink Router Bridge LAN,0.30583756345177665,0.6303822937625755,0.4118574996713553,4970.0
Triby Speaker,0.9089968976215099,0.20701837023080544,0.3372338384807213,4246.0
iHome,0.39913029973598385,0.8352291192720183,0.5401429171920975,3077.0
accuracy,0.5660591667096907,0.5660591667096907,0.5660591667096907,0.5660591667096907
macro avg,0.61540961798519,0.5741038064366287,0.5512180904406743,77476.0
weighted avg,0.6193117531425516,0.5660591667096907,0.5485177323217191,77476.0
