,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,526,0,0,12,12,0,838,102,0,101,17,296,0,1082,1,11,1231,0,0,317,19
1,139,1108,276,30,0,3,541,17,0,0,24,5,0,22,0,0,0,0,1385,0,0
2,0,30,2661,286,0,17,0,0,0,55,291,311,28,13,32,0,610,0,63,1,49
3,0,4,566,2919,0,10,0,0,0,129,171,0,18,0,3,336,431,0,36,0,0
4,2,0,0,0,3800,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,979
5,6,19,6,7,0,817,0,3,0,0,2673,8,0,7,0,0,742,0,1,0,6
6,3,200,1,409,0,142,1401,0,0,7,92,0,0,0,0,10,207,6,637,0,0
7,188,26,149,1,0,12,0,1462,0,6,28,245,0,2550,0,0,105,0,21,61,16
8,0,0,170,8,0,9,0,0,0,0,20,6,0,0,0,0,0,0,0,0,0
9,147,0,18,4,0,0,0,91,0,2189,269,3,0,345,0,0,972,0,4,179,0
10,0,0,595,1749,0,34,0,0,0,1,1270,4,0,0,0,0,0,0,0,0,0
11,697,0,0,31,0,0,0,81,0,20,458,1220,1,1126,0,0,0,0,1,68,0
12,134,0,0,1209,117,0,0,53,0,85,0,19,1936,99,32,159,23,0,296,189,200
13,662,99,318,4,6,10,2,305,0,37,273,7,0,1946,0,8,82,0,0,26,6
14,103,317,626,3,0,378,0,27,0,4,164,55,105,135,2542,40,135,0,0,0,0
15,0,0,0,37,0,0,0,0,0,0,0,37,0,0,0,3588,1,0,0,0,0
16,86,676,0,3,0,0,713,35,0,27,75,42,0,137,0,0,1585,39,0,0,0
17,0,297,674,199,0,10,0,0,0,64,202,64,0,0,0,0,38,436,63,4,0
18,42,16,56,455,0,2,133,0,0,564,75,32,4,0,1344,127,232,3,1562,32,0
19,7,0,51,11,0,196,0,1,0,0,163,139,1,1,0,0,0,0,0,1857,0
20,131,0,0,5,0,0,0,103,0,1,144,12,0,442,0,1,0,0,0,130,2182
