,precision,recall,f1-score,support
Amazon Echo,0.20857509203517627,0.3492230247318888,0.25083209726921385,4569.0
Awair air quality monitor,0.010795454545454546,0.0011557177615571777,0.0020879120879120877,3288.0
Belkin Wemo switch,0.45271500561360956,0.07486871717929482,0.1253241404291487,3999.0
Belkin wemo motion sensor,0.5196409078930212,0.12373839321760194,0.18845415639608565,4954.0
Dropcam,0.1999815861417426,0.20080134964150148,0.19697442934785894,4742.0
HP Printer,0.12568251205193182,0.1274147727272727,0.11010732601347473,2816.0
Light Bulbs LiFX Smart Bulb,0.7743170222196593,0.5953994558496166,0.6649095770251503,4043.0
MacBook,0.04389836241295078,0.0871630881681133,0.051261768657779726,2189.0
NEST Protect smoke alarm,0.07903354062595576,0.0282442748091603,0.0399473780024937,262.0
Netatmo Welcome,0.11335667664743787,0.056521739130434775,0.06753508743223127,4876.0
Netatmo weather station,0.7481894051151524,0.8370407149950347,0.78485745209446,2014.0
PIX-STAR Photo-frame,0.7887310390157992,0.5332012454005095,0.6351271803489945,3533.0
Phillip Hue Lightbulb,0.4188331188691451,0.5757112526539278,0.46100461921996294,4710.0
Samsung Galaxy Tab,0.246976411669895,0.7219341563786007,0.3660179761642227,4860.0
Samsung SmartCam,0.7010869137412196,0.406686291000841,0.5113785042626422,4756.0
Smart Things,0.8068559551706149,0.8989823245848955,0.8455254819369544,3734.0
TP-Link Day Night Cloud camera,0.38827260124514157,0.17289032637459573,0.22340100154625525,3401.0
TP-Link Smart plug,0.4169689119170984,0.02946245383668445,0.05153440019072938,2437.0
TPLink Router Bridge LAN,0.25097467968281906,0.7233400402414486,0.37148132716530435,4970.0
Triby Speaker,0.4373269624742349,0.2259538389072068,0.2630597452664139,4246.0
iHome,0.34867949035842444,0.30256743581410467,0.3056222866864359,3077.0
accuracy,0.36049615364758114,0.36049615364758114,0.36049615364758114,0.36049615364758114
macro avg,0.3848043642593564,0.33677621968591864,0.3103068498830345,77476.0
weighted avg,0.39758012660893105,0.36049615364758114,0.32429524244778224,77476.0
