,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,1088,0,14,142,196,578,0,0,0,0,554,0,0,0,320,0,0,1,0,0,1392
1,0,2424,0,90,653,0,0,0,0,0,1,0,0,0,44,0,0,6,0,0,150
2,18,80,426,599,0,425,0,0,0,0,212,0,0,0,10,95,0,64,0,0,1632
3,165,1,24,2845,0,23,0,0,6,0,305,0,1,0,60,86,0,1331,0,0,35
4,0,64,0,0,4702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
5,0,84,0,14,0,1519,0,0,0,0,159,0,0,0,1,2,0,0,0,0,938
6,1740,0,0,183,0,0,392,0,0,0,1,0,0,0,208,0,255,449,0,0,0
7,0,0,0,0,0,17,0,2612,0,0,100,0,0,38,88,0,0,0,0,112,18
8,0,19,12,0,0,72,0,0,271,0,27,0,0,0,9,0,0,0,0,0,0
9,0,0,10,15,1,1,0,19,0,1072,2,0,0,0,1126,0,0,2,0,0,1712
10,0,0,0,624,0,632,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0
11,0,0,0,2,0,4,0,50,0,0,1896,0,0,0,465,0,0,5,0,0,1108
12,353,0,0,1540,36,218,0,7,0,0,0,0,705,202,1472,0,0,0,0,44,200
13,43,0,0,0,14,40,0,418,0,1,4090,6,0,8,41,0,0,0,41,25,8
14,241,97,63,6,14,17,0,0,0,0,0,0,38,0,3996,0,0,52,0,0,296
15,0,0,0,10,0,0,0,0,0,0,75,0,0,0,338,3430,0,0,0,0,4
16,218,0,0,0,671,1409,0,0,0,0,82,0,0,0,443,0,0,0,0,0,778
17,0,0,0,248,0,4,0,0,0,0,8,0,0,0,137,0,0,2015,0,0,0
18,1297,0,0,348,64,55,29,77,0,0,46,0,8,110,1951,3,39,235,651,51,0
19,0,0,0,0,0,0,0,643,0,0,5,0,2,166,231,0,0,0,0,1431,225
20,0,0,12,12,0,1,0,0,0,0,3,0,0,0,33,0,0,0,0,0,2994
