,precision,recall,f1-score,support
Amazon Echo,0.4116871704745167,0.20405052264808363,0.272859638905067,4592.0
Awair air quality monitor,0.75,0.0016344320348678834,0.00326175591193259,3671.0
Belkin Wemo switch,0.5,0.0002229157378510923,0.00044563279857397507,4486.0
Belkin wemo motion sensor,0.6204379562043796,0.017723102585487906,0.03446178795864585,4796.0
Dropcam,0.07347826086956522,0.9991845056065239,0.13688988199148103,4905.0
HP Printer,0.9705882352941175,0.14075829383886257,0.24586092715231792,4220.0
Light Bulbs LiFX Smart Bulb,1.0,0.3278422900351067,0.4937970307097824,3703.0
MacBook,0.75,0.003132832080200501,0.006239600665557404,4788.0
NEST Protect smoke alarm,0.0032362459546925572,0.02564102564102564,0.00574712643678161,351.0
Netatmo Welcome,0.5,0.00021687269572760788,0.00043355733795794494,4611.0
Netatmo weather station,0.47949965253648374,0.3654661016949153,0.4147880973850315,3776.0
PIX-STAR Photo-frame,0.602291325695581,0.20968660968660968,0.3110735418427726,1755.0
Phillip Hue Lightbulb,0.9471698113207548,0.11688009313154832,0.20808290155440418,4295.0
Samsung Galaxy Tab,0.95,0.0038244766505636076,0.007618283881315156,4968.0
Samsung SmartCam,0.888888888888889,0.0017171066752522002,0.003427592116538132,4659.0
Smart Things,1.0,0.004347826086956522,0.008658008658008658,4140.0
TP-Link Day Night Cloud camera,0.6169064748201439,0.12423035132198479,0.20681338558938803,2761.0
TP-Link Smart plug,0.19767441860465115,0.006594259115593483,0.012762762762762763,2578.0
TPLink Router Bridge LAN,0.8125,0.0027807486631016044,0.005542528245576636,4675.0
Triby Speaker,0.05376344086021505,0.002144082332761578,0.004123711340206186,2332.0
iHome,0.0,0.0,0.0,2508.0
accuracy,0.13282423316787578,0.13282423316787578,0.13282423316787578,0.13282423316787578
macro avg,0.5775296134059043,0.1218132594410964,0.11347084539257624,78570.0
weighted avg,0.6362810739387602,0.13282423316787578,0.11122077233538515,78570.0
