,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,937,0,0,0,3472,0,0,0,0,0,19,94,17,0,0,0,5,22,0,26,0
1,0,6,0,0,3637,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
2,604,0,1,16,3577,0,0,0,223,0,24,0,0,0,0,0,41,0,0,0,0
3,399,0,1,85,4092,0,0,0,165,0,15,0,0,0,0,0,39,0,0,0,0
4,0,0,0,0,4901,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,1648,594,0,0,1903,0,75,0,0,0,0,0,0,0,0,0,0
6,0,2,0,0,2427,0,1214,0,0,0,59,0,0,0,0,0,0,0,1,0,0
7,3,0,0,0,4742,8,0,15,8,0,7,3,0,1,0,0,0,0,0,0,1
8,0,0,0,0,307,0,0,0,9,0,35,0,0,0,0,0,0,0,0,0,0
9,152,0,0,1,4255,0,0,0,183,1,15,1,1,0,0,0,0,1,0,1,0
10,0,0,0,0,2394,0,0,0,2,0,1380,0,0,0,0,0,0,0,0,0,0
11,9,0,0,0,893,0,0,0,46,0,399,368,4,0,0,0,2,16,0,18,0
12,6,0,0,0,3755,0,0,0,2,0,0,18,502,0,0,0,0,8,0,4,0
13,40,0,0,5,4793,0,0,2,17,0,73,10,0,19,0,0,5,2,0,2,0
14,16,0,0,0,4295,2,0,0,118,0,13,54,5,0,8,0,113,16,0,19,0
15,0,0,0,30,4091,0,0,0,0,0,0,0,0,0,0,18,0,0,1,0,0
16,1,0,0,0,2311,0,0,0,0,1,73,23,1,0,0,0,343,3,0,5,0
17,10,0,0,0,2207,0,0,0,0,0,288,40,0,0,1,0,2,17,0,13,0
18,98,0,0,0,4512,2,0,0,43,0,1,0,0,0,0,0,6,0,13,0,0
19,1,0,0,0,2081,1,0,3,0,0,240,0,0,0,0,0,0,1,0,5,0
20,0,0,0,0,2310,5,0,0,62,0,130,0,0,0,0,0,0,0,1,0,0
