,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,5279,38,5,164,4,35,156,754,0,887,1,1355,545,560,213,0,0,0,0,0,0
1,166,63,19,140,425,0,71,10,0,1,11,8,2,10,0,0,0,0,0,0,0
2,498,0,2744,2330,0,13,0,409,0,0,5,0,498,798,204,0,0,0,0,0,0
3,64,271,641,8257,0,26,0,0,0,298,10,0,41,386,4,0,0,0,0,0,0
4,0,1,0,0,1434,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0
5,4,3,42,275,0,777,0,7,0,0,0,0,4,81,1,0,0,0,0,0,0
6,543,151,0,66,0,114,1917,15,0,74,0,94,283,78,1,0,0,0,0,0,0
7,677,33,86,122,56,48,44,414,2,180,7,246,498,545,183,0,0,0,0,0,0
8,2,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
9,382,10,6,92,11,21,26,27,0,1481,2,35,1035,310,0,0,0,0,0,0,0
10,20,142,50,7,0,0,31,0,0,17,390,0,55,0,0,0,0,0,0,0,0
11,52,2,0,0,0,0,74,85,0,48,0,588,95,78,23,0,0,0,0,0,0
12,642,2,5,1076,0,194,42,284,0,13,1,86,1389,408,582,0,0,0,0,0,0
13,261,10,72,45,1,31,8,66,1,122,6,33,31,1149,36,0,0,0,0,0,0
14,297,1,392,386,0,54,84,214,146,35,0,204,329,939,3432,0,0,0,0,0,0
15,69,545,66,542,726,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,34,218,1,78,0,424,78,32,0,23,36,56,63,229,141,0,0,0,0,0,0
17,53,5,4,1,0,20,11,231,0,10,0,3,38,398,205,0,0,0,0,0,0
18,290,205,445,2164,411,128,648,376,165,0,1,7,3869,138,1031,0,0,0,0,0,0
19,105,2,12,115,0,0,1,18,0,25,114,193,344,15,0,0,0,0,0,0,0
20,251,1,15,84,0,7,160,4,1,0,0,0,41,58,16,0,0,0,0,0,0
