,precision,recall,f1-score,support
Amazon Echo,0.6973747016706444,0.7305,0.7135531135531136,10000.0
Awair air quality monitor,0.09827357237715803,0.16780045351473924,0.12395309882747067,441.0
Belkin Wemo switch,0.2645894521772443,0.2906030855539972,0.2769868324309872,7130.0
Belkin wemo motion sensor,0.5623085099731132,0.8993,0.6919555264879006,10000.0
Dropcam,0.6646090534979424,0.8910344827586207,0.7613435474366529,725.0
HP Printer,0.6794007490636704,0.7686440677966102,0.721272365805169,1180.0
Light Bulbs LiFX Smart Bulb,0.27213352685050796,0.2232807383149747,0.24529844644317253,3359.0
MacBook,0.4419970631424376,0.05647279549718574,0.10014972550324405,5330.0
NEST Protect smoke alarm,0.24571428571428572,0.13190184049079753,0.17165668662674652,326.0
Netatmo Welcome,0.620531622364803,0.38967766692248657,0.4787271655863289,5212.0
Netatmo weather station,0.45187165775401067,0.23119015047879618,0.3058823529411765,731.0
PIX-STAR Photo-frame,0.09526895657809462,0.3602941176470588,0.15069195284469503,408.0
Phillip Hue Lightbulb,0.5620110298832884,0.543066055273268,0.5523761502584142,8069.0
Samsung Galaxy Tab,0.24614192548589137,0.4176161262050833,0.3097298395287426,9128.0
Samsung SmartCam,0.7755675675675676,0.3596711120024065,0.49143718317577745,9973.0
Smart Things,0.7262044653349001,0.6258227848101265,0.6722871906445472,1975.0
TP-Link Day Night Cloud camera,0.8847290640394089,0.7288961038961039,0.7992879394748553,1232.0
TP-Link Smart plug,0.5947416137805984,0.6927138331573389,0.64,947.0
TPLink Router Bridge LAN,0.671629915889975,0.5909,0.6286839025428237,10000.0
Triby Speaker,0.033172496984318456,0.04017531044558072,0.036339610175090846,1369.0
iHome,0.41239316239316237,0.15089913995308835,0.2209502003434459,1279.0
accuracy,0.49728646384579,0.49728646384579,0.49728646384579,0.49728646384579
macro avg,0.47622211392966773,0.4424028507008696,0.43297918241096917,88814.0
weighted avg,0.5365897245848769,0.49728646384579,0.4887164023505102,88814.0
