,precision,recall,f1-score,support
Amazon Echo,0.1437235837031316,0.44905999999999996,0.21542979736189763,10000.0
Awair air quality monitor,0.7157167048108954,0.55228,0.5605006901257195,10000.0
Belkin Wemo switch,0.054733175514129796,0.01178,0.018009035520196,10000.0
Belkin wemo motion sensor,0.2204684754133562,0.33161999999999997,0.2523589589285248,10000.0
Dropcam,0.6368692709969594,0.11768,0.18864050072736957,10000.0
HP Printer,0.6233302826902423,0.5566154970760234,0.578478748883592,5472.0
Light Bulbs LiFX Smart Bulb,0.777887793549632,0.7425200000000001,0.7505750631549764,10000.0
MacBook,0.013115943846896905,0.184376427592508,0.024112613735932594,2189.0
NEST Protect smoke alarm,0.21755328514507358,0.5778625954198473,0.20600968510526566,262.0
Netatmo Welcome,0.41806092392505584,0.36092,0.33918172854127043,10000.0
Netatmo weather station,0.8860100398521429,0.7524115755627009,0.8099081464990249,4043.0
PIX-STAR Photo-frame,0.12510110831242977,0.2268893291819983,0.12471049806812692,3533.0
Phillip Hue Lightbulb,0.07921842440130007,0.01632,0.026795687385361915,10000.0
Samsung Galaxy Tab,0.07258455909944433,0.22960000000000003,0.10828632970339977,10000.0
Samsung SmartCam,0.0,0.0,0.0,10000.0
Smart Things,0.0,0.0,0.0,10000.0
TP-Link Day Night Cloud camera,0.0,0.0,0.0,6884.0
TP-Link Smart plug,0.0,0.0,0.0,2437.0
TPLink Router Bridge LAN,0.0,0.0,0.0,10000.0
Triby Speaker,0.0,0.0,0.0,10000.0
iHome,0.0,0.0,0.0,6172.0
accuracy,0.2208942059232757,0.2208942059232757,0.2208942059232757,0.2208942059232757
macro avg,0.23735112244098527,0.24333025832538469,0.20014273732098373,160992.0
weighted avg,0.2404673709848871,0.2208942059232757,0.19619006847119086,160992.0
