,precision,recall,f1-score,support
Amazon Echo,0.6699426699426699,0.7362,0.7015103149268664,10000.0
Awair air quality monitor,0.9901811924283834,0.9782,0.9841541325016349,10000.0
Belkin Wemo switch,0.0,0.0,0.0,10000.0
Belkin wemo motion sensor,0.21249919422419905,0.6593,0.32140593769804515,10000.0
Dropcam,0.6898473116723352,0.9533,0.8004534195390235,10000.0
HP Printer,0.949438202247191,0.4901,0.6464846326342171,10000.0
Light Bulbs LiFX Smart Bulb,0.9643768400392542,0.9827,0.9734522040614165,10000.0
MacBook,0.379436964504284,0.465,0.41788362165805437,10000.0
NEST Protect smoke alarm,0.9348837209302325,0.5726495726495726,0.7102473498233216,351.0
Netatmo Welcome,0.5655328798185941,0.7482,0.644167025398192,10000.0
Netatmo weather station,0.9041029960293587,0.7514,0.8207088635246573,10000.0
PIX-STAR Photo-frame,0.8867403314917127,0.3658119658119658,0.517950786607503,1755.0
Phillip Hue Lightbulb,0.6962349694460871,0.3532,0.46865255755324087,10000.0
Samsung Galaxy Tab,0.0928789313137688,0.0883,0.09053160403957554,10000.0
Samsung SmartCam,0.7173945896932145,0.4747,0.5713426009508334,10000.0
Smart Things,0.9621751684311838,0.9997,0.9805787150564002,10000.0
TP-Link Day Night Cloud camera,0.7234991423670669,0.3825503355704698,0.5004746084480304,5513.0
TP-Link Smart plug,0.47868712702472294,0.4356089992242048,0.4561332250203087,2578.0
TPLink Router Bridge LAN,0.5686274509803921,0.0841,0.14652844324418504,10000.0
Triby Speaker,0.551926782273603,0.8103253182461103,0.6566189111747851,7070.0
iHome,1.0,0.915184958103413,0.9557144381602817,4893.0
accuracy,0.5920422862453532,0.5920422862453532,0.5920422862453532,0.5920422862453532
macro avg,0.6637336411837262,0.5831681499812255,0.5888092091438368,172160.0
weighted avg,0.6362040869629261,0.5920422862453532,0.5813805506305061,172160.0
