,precision,recall,f1-score,support
Amazon Echo,1.0,0.001,0.0019980019980019984,1000.0
Awair air quality monitor,0.0,0.0,0.0,1000.0
Belkin Wemo switch,0.0,0.0,0.0,1000.0
Belkin wemo motion sensor,0.05046219124109714,0.999,0.0960715487810742,1000.0
Dropcam,1.0,0.019,0.03729146221786065,1000.0
HP Printer,1.0,0.001,0.0019980019980019984,1000.0
Light Bulbs LiFX Smart Bulb,0.0,0.0,0.0,1000.0
MacBook,0.0,0.0,0.0,1000.0
NEST Protect smoke alarm,0.8,0.0730593607305936,0.13389121338912133,219.0
Netatmo Welcome,0.0,0.0,0.0,1000.0
Netatmo weather station,0.0,0.0,0.0,1000.0
PIX-STAR Photo-frame,1.0,0.002,0.003992015968063872,1000.0
Phillip Hue Lightbulb,0.0,0.0,0.0,1000.0
Samsung Galaxy Tab,0.0,0.0,0.0,1000.0
Samsung SmartCam,0.0,0.0,0.0,1000.0
Smart Things,1.0,0.001,0.0019980019980019984,1000.0
TP-Link Day Night Cloud camera,1.0,0.223,0.36467702371218313,1000.0
TP-Link Smart plug,1.0,0.15,0.2608695652173913,1000.0
TPLink Router Bridge LAN,1.0,0.004,0.00796812749003984,1000.0
Triby Speaker,0.0,0.0,0.0,1000.0
iHome,1.0,0.001,0.0019980019980019984,1000.0
accuracy,0.07008259557841634,0.07008259557841634,0.07008259557841634,0.07008259557841634
macro avg,0.4690696281543379,0.07019330289193301,0.043464426893702016,20219.0
weighted avg,0.45628676943672275,0.07008259557841634,0.039971508339227385,20219.0
