,precision,recall,f1-score,support
appletv,0.9767243493932574,0.9659046464001441,0.9712001930600154,266.2
blink-camera,0.9923113632844753,0.9757786841918332,0.9838977495845566,611.2
blink-security-hub,0.9575520989606874,0.9275714111484769,0.9415980169502651,59.6
echodot,0.8495938216765356,0.6525241843775315,0.7374758073919433,239.0
echoplus,0.810472480686576,0.8907181548587123,0.848633031425582,874.8
echospot,0.8740933079412714,0.8797864555458139,0.8768809978856927,870.0
firetv,0.9250944389517037,0.9081240519469644,0.9164388516745262,389.4
google-home-mini,0.9865665229730738,0.954946037042036,0.9704761435223841,279.8
insteon-hub,0.9991640864687916,0.9996071892559455,0.9993848203087208,301.2
lightify-hub,0.9917995980401648,0.9878311961112264,0.9897772212748159,156.6
magichome-strip,0.9856393042010875,0.9893388883456871,0.9874329358933116,73.2
nest-tstat,0.9932147782019777,0.9840797020492377,0.988609671860762,268.6
ring-doorbell,0.9998689950595483,0.9997736716513727,0.9998213241831608,8827.6
roku-tv,0.9771371007279952,0.9683275222484362,0.972659036275229,212.0
samsungtv-wired,0.9892385560646325,0.9878013986971284,0.9885159399035062,1651.4
sengled-hub,0.9878489916573039,0.9332151422482805,0.9594456297082883,89.2
smartthings-hub,0.9816634427057843,0.9754557714010279,0.9785291123573557,519.4
sousvide,0.9653979745744453,0.7581922480235848,0.8442005524697151,14.6
t-philips-hub,0.9961356487578362,0.9954724442316685,0.9958031248740441,3356.8
t-wemo-plug,0.9987215807246226,0.9957515687692333,0.9972326678110764,812.2
tplink-bulb,0.9399742008769626,0.9975634517766497,0.9677332912822909,395.0
tplink-plug,0.9683562015846308,0.9648012636045977,0.9664284896842381,136.2
wansview-cam-wired,0.9891711252519577,0.9896076979366483,0.9893890492868137,19925.4
xiaomi-hub,0.9959029210520781,0.993402749813323,0.9946282630051975,57.8
yi-camera,0.9693970814411803,0.9672301267851188,0.9683097132588191,6513.2
accuracy,0.9815924824821544,0.9815924824821544,0.9815924824821544,0.9815924824821544
macro avg,0.9640415988503431,0.9457122263384272,0.9533800653972924,46900.4
weighted avg,0.9818051709670709,0.9815924824821544,0.9815661231343992,46900.4
