,precision,recall,f1-score,support
appletv,0.21345266809727895,0.5433874709976798,0.2999685554982131,431.0
blink-camera,0.6634020250165337,0.5056798623063683,0.5681217357332639,581.0
blink-security-hub,0.08178038086910172,0.198,0.11498547757424174,300.0
echodot,0.12193125822877564,0.17750511247443762,0.14392052318052304,489.0
echoplus,0.2171879442802521,0.09531459170013387,0.13144446102915067,2241.0
echospot,0.21084738502097616,0.21457858769931662,0.2122933084623236,2195.0
firetv,0.42468981279111045,0.142570281124498,0.19359113539403916,498.0
google-home-mini,0.1749413550384043,0.5586080586080586,0.2655397450640658,546.0
insteon-hub,0.0,0.0,0.0,1823.0
lightify-hub,0.6831092500622553,0.5968379446640316,0.6357303667775123,759.0
magichome-strip,0.21602607694656095,0.29384615384615387,0.24282640406871697,650.0
nest-tstat,0.509885210308671,0.5755965292841649,0.5404770362565742,1844.0
ring-doorbell,0.4652791902322423,0.7927966101694915,0.5862513601620281,472.0
roku-tv,0.28858709251655823,0.18370197904540161,0.22347271822254794,859.0
samsungtv-wired,0.7449690127772557,0.33070673344463,0.45800240355511496,8985.0
sengled-hub,0.02984979809084249,0.08256880733944955,0.04379759571145324,218.0
smartthings-hub,0.5565157548113093,0.7931389365351629,0.6465739667903947,4081.0
sousvide,0.01337694219645635,0.11428571428571428,0.02240719451780505,21.0
t-philips-hub,0.7674245859716445,0.8979822616407983,0.8256277449588619,9020.0
t-wemo-plug,0.38993958206618295,0.7373358348968105,0.5046711065275318,2665.0
tplink-bulb,0.43504554682872654,0.485360524399126,0.45857706589073377,1373.0
tplink-plug,0.05572935329589636,0.0215547703180212,0.029743379323754836,566.0
wansview-cam-wired,0.9638017044826068,0.8266831941544887,0.8898306433733548,15328.0
xiaomi-hub,0.15817052199366285,0.16613272311212818,0.16145707672971726,437.0
yi-camera,0.7935831932050064,0.9674876847290641,0.8718175851764955,2030.0
accuracy,0.6103574607957268,0.6103574607957268,0.6103574607957268,0.6103574607957268
macro avg,0.36718102580513245,0.4120664146710052,0.3628451435991368,58412.0
weighted avg,0.6488343104121321,0.6103574607957268,0.6052511899835047,58412.0
