,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,310,8,13,3,0,7,8,12,0,1,0,12,2,10,29,1,4,0,2,0,0,0,1,0,1
1,0,275,20,2,1,1,38,4,1,0,5,58,86,3,26,5,20,0,19,6,4,0,0,0,2
2,7,0,64,86,8,49,0,0,0,1,0,0,1,6,0,11,3,0,2,0,0,0,0,54,2
3,27,2,20,40,61,64,27,7,0,6,0,47,0,10,69,24,46,0,3,0,1,10,1,7,9
4,78,17,38,240,366,378,151,30,1,1,0,32,2,105,299,18,238,0,72,0,0,33,14,83,36
5,57,12,24,155,298,594,95,39,0,0,0,42,4,31,136,58,434,0,43,8,44,4,29,46,33
6,40,2,0,18,40,52,113,6,0,0,0,20,2,22,48,2,61,0,11,2,0,3,23,17,7
7,24,6,14,2,13,29,1,196,0,0,0,85,5,10,87,20,2,0,30,6,0,0,2,4,3
8,0,15,0,391,39,15,0,4,3,0,159,0,0,4,12,0,0,213,766,174,22,0,0,0,0
9,1,0,0,0,0,3,0,4,1,292,1,62,0,0,15,0,1,0,1,159,0,0,0,198,15
10,0,0,0,1,11,1,88,25,22,0,118,0,0,19,24,0,1,31,95,0,0,0,152,58,0
11,436,19,5,0,1,4,71,417,0,13,0,217,183,12,317,0,2,0,139,0,0,1,2,0,0
12,26,15,2,10,1,15,0,2,1,0,0,22,325,2,14,4,5,0,2,1,2,1,0,16,0
13,52,32,0,7,13,33,40,56,1,9,8,31,7,265,164,3,12,0,87,1,3,14,1,0,13
14,366,62,16,16,47,104,399,205,0,2,67,596,56,885,4530,8,950,126,101,171,2,47,174,1,45
15,4,2,0,29,4,63,0,0,0,0,1,8,1,0,2,74,3,0,4,0,11,2,0,3,0
16,81,1,1,62,3,18,21,8,0,0,0,93,16,19,369,75,3296,0,6,0,4,0,0,0,1
17,0,0,0,1,0,0,0,0,2,0,13,0,0,0,1,0,0,0,1,0,0,0,0,0,0
18,22,4,59,9,33,129,6,18,3,6,12,25,10,18,46,5,9,0,8552,0,0,0,8,38,0
19,4,2,7,2,1,339,180,5,1,0,6,9,4,0,9,5,5,0,50,2002,0,1,0,21,4
20,0,0,0,224,7,24,3,0,0,0,0,49,111,0,1,0,0,355,0,0,596,0,0,0,0
21,5,0,3,7,2,8,4,0,0,0,0,7,0,3,53,3,0,0,0,0,2,462,0,0,0
22,2,0,0,6,0,3,4,2,0,0,0,33,13,971,33,3,3,0,1,1436,0,1,12728,5,78
23,0,0,0,0,0,4,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,425,0
24,1,0,0,2,0,1,0,0,0,0,0,1,2,3,1,0,0,0,0,0,0,0,41,0,1975
