,precision,recall,f1-score,support
appletv,0.28745470461829226,0.5062645011600928,0.36605557233496,431.0
blink-camera,0.872304292052231,0.7924268502581755,0.8302698131768482,581.0
blink-security-hub,0.14191736237177371,0.48200000000000004,0.21771118700930608,300.0
echodot,0.07796419122623235,0.19263803680981598,0.11060054642821027,489.0
echoplus,0.4040395169558182,0.3742971887550201,0.3883736098160847,2241.0
echospot,0.48054295387608265,0.19453302961275626,0.2763917395645971,2195.0
firetv,0.1733439225176366,0.4634538152610442,0.25088129034859447,498.0
google-home-mini,0.2304501552167113,0.7699633699633699,0.352997147899195,546.0
insteon-hub,0.8556344607267302,0.5099286889742183,0.6369894466982317,1823.0
lightify-hub,0.8646393408671411,0.8010540184453229,0.8309559207506176,759.0
magichome-strip,0.8945945945945946,0.5092307692307693,0.6490196078431373,650.0
nest-tstat,0.43672777805548096,0.16529284164859,0.23866928118899006,1844.0
ring-doorbell,0.8988746579858218,0.888135593220339,0.8932586654030313,472.0
roku-tv,0.17774132646238314,0.279860302677532,0.21556304789914008,859.0
samsungtv-wired,0.6977812045374973,0.44894824707846415,0.5461678597071661,8985.0
sengled-hub,0.5324963424495627,0.2926605504587156,0.3775451668951596,218.0
smartthings-hub,0.7237876749415226,0.8258270031854937,0.7712524317435309,4081.0
sousvide,0.13942219824327617,0.5714285714285714,0.20865715851205238,21.0
t-philips-hub,0.410218254641084,0.97079822616408,0.5767301805712076,9020.0
t-wemo-plug,0.8224223161158003,0.9684803001876172,0.8894296892442529,2665.0
tplink-bulb,0.9589823187564172,0.8080116533139112,0.8770133740650937,1373.0
tplink-plug,0.12224135519222239,0.07279151943462898,0.09121441285504987,566.0
wansview-cam-wired,0.8187172156180706,0.23288100208768267,0.36257998863278706,15328.0
xiaomi-hub,0.43918170323056893,0.7894736842105263,0.5437956650027016,437.0
yi-camera,0.9774778240504137,0.9618719211822659,0.9696086613983381,2030.0
accuracy,0.5393172635759776,0.5393172635759776,0.5393172635759776,0.5393172635759776
macro avg,0.5375583066121347,0.5548900673899602,0.4988692585995313,58412.0
weighted avg,0.6575582058311593,0.5393172635759776,0.5229780970986028,58412.0
