,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,260,1,7,0,0,58,0,13,0,11,0,38,0,1,28,14,3,0,43,0,0,6,27,1,1
1,0,506,0,0,4,3,0,1,0,27,0,9,14,0,0,0,0,0,0,0,3,0,54,0,1
2,0,1,363,1,72,19,0,3,0,0,0,4,1,0,0,4,0,0,9,42,0,350,0,0,0
3,0,0,23,609,115,192,0,97,0,7,3,95,0,2,51,15,0,1,45,3,12,5,4,4,61
4,0,1,66,187,585,605,0,127,0,1,4,125,1,2,79,45,0,0,21,17,15,34,4,0,116
5,1,1,126,219,508,1848,0,339,0,11,2,203,1,13,115,88,1,0,19,65,5,53,12,0,146
6,13,0,1,22,1,26,4,4,0,0,0,4,0,2,29,3,0,0,0,6,0,0,1,0,0
7,0,0,0,2,4,57,0,821,0,0,0,170,2,17,13,0,0,0,12,36,0,8,15,52,1
8,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,1,23,0,5,0,0,0,297,1,0,0,0,0,1,0,2,0,2,0,2,0,10,0
10,2,0,11,25,0,4,0,0,0,2,199,13,1,1,0,0,0,4,0,72,0,0,44,12,0
11,4,0,0,43,13,15,0,17,0,98,0,2052,0,9,7,0,3,0,1,2,1,73,12,1,13
12,0,16,0,0,1,3,0,0,0,0,0,1,984,0,2,4,0,0,2,0,13,2,0,12,0
13,11,1,21,0,0,42,0,106,0,5,0,79,4,563,37,6,0,0,84,18,0,5,110,0,1
14,94,26,0,3,0,66,0,38,0,128,0,227,0,9,892,11,99,0,2,5,0,3,6,0,1
15,0,0,2,39,0,4,0,0,0,0,0,1,0,0,1,194,0,0,8,0,1,10,0,0,0
16,0,1,0,0,0,10,0,167,0,25,0,25,0,0,15,0,1488,0,1,3,13,0,0,0,0
17,0,0,0,13,0,1,0,0,0,1,2,0,0,0,0,0,0,63,0,0,0,0,0,2,0
18,0,14,17,3,35,13,0,28,1,11,0,10,2,44,4,24,0,0,821,24,5,51,5,0,1
19,0,0,22,0,6,81,9,48,0,0,3,0,0,13,1,0,0,0,4,4879,156,0,0,5,0
20,0,1,15,0,0,44,0,0,0,0,0,0,0,0,0,0,14,0,102,13,442,0,25,0,0
21,0,0,0,0,0,8,0,0,0,0,0,178,0,0,3,20,0,0,235,0,0,121,4,0,0
22,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10661,9,12
23,0,1,0,33,0,0,0,2,0,4,4,0,0,0,0,0,0,5,0,0,0,0,3,585,0
24,0,1,0,1,0,8,0,21,0,17,0,2,0,0,0,3,0,0,0,0,0,2,1,0,1797
