Dataset,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T,Al-Time
UK,0,1,RF,0.9110961582942574,0.8831747372848158,0.9101195966381032,0.8831747372848158,0.8929378173766455,0.8798143977205573,0,68.68243837356567,1.2720694541931152,0
UK,0,2,RF,0.9139348571188258,0.8985028479891993,0.9215423734301291,0.8985028479891993,0.9065684378997719,0.883492711754818,0,71.02498769760132,1.2283854484558105,0
UK,0,3,RF,0.9120213638370798,0.8892010506772856,0.9170082291790037,0.8892010506772856,0.8996103091253292,0.8808742794424912,0,68.80614447593689,1.2366116046905518,0
UK,0,4,RF,0.9125680762032929,0.8887065154295797,0.9169411045619091,0.8887065154295797,0.8993390834782854,0.8817062462669671,0,71.23774218559265,1.2269372940063477,0
UK,0,5,RF,0.911453624072166,0.8909519647865164,0.9184105919385082,0.8909519647865164,0.9010536523794548,0.8804188183155607,0,71.46214246749878,1.2278296947479248,0
UK,1,1,RF,0.909750404777425,0.8923793465303547,0.9123018585370534,0.8923793465303547,0.8988513720338457,0.878048342311718,0,72.08730840682983,1.2470908164978027,0
UK,1,2,RF,0.914397459890237,0.889468452130771,0.917507697424145,0.889468452130771,0.8996788102454306,0.8842863418579003,0,69.31420183181763,1.256892204284668,0
UK,1,3,RF,0.9114746514708666,0.8884471561803586,0.9204262121622658,0.8884471561803586,0.9005608917037842,0.8802612446400027,0,71.39625573158264,1.2300407886505127,0
UK,1,4,RF,0.9126521857980949,0.8914012110418235,0.914106984805696,0.8914012110418235,0.8993729171960052,0.8816019444881542,0,67.54570508003235,1.2438416481018066,0
UK,1,5,RF,0.9119372542422777,0.8906912607794539,0.9150451840350756,0.8906912607794539,0.8993843152837441,0.8809250493402558,0,68.39110517501831,1.227287769317627,0
UK,2,1,RF,0.912778350190298,0.8896225223002565,0.9170288988645865,0.8896225223002565,0.8996288444579582,0.882097642534167,0,67.80907821655273,1.2249212265014648,0
UK,2,2,RF,0.9108858843072524,0.8933078289246068,0.9200665715617126,0.8933078289246068,0.9029874449079839,0.8794286122029654,0,69.76174736022949,1.243239164352417,0
UK,2,3,RF,0.9113064322812625,0.8894792770574738,0.9130568427826746,0.8894792770574738,0.897966897813305,0.8803469022342248,0,69.95810627937317,1.202218770980835,0
UK,2,4,RF,0.9121265008305822,0.8925642983421119,0.9187985606797305,0.8925642983421119,0.9024049429595385,0.8809122755664904,0,68.24659633636475,1.2386794090270996,0
UK,2,5,RF,0.9131568433669071,0.8940003717807425,0.9115469316025475,0.8940003717807425,0.8993156463971812,0.8823581558571769,0,70.24959373474121,1.2276616096496582,0
UK,3,1,RF,0.9105494459280442,0.8894291665568812,0.9141454743093099,0.8894291665568812,0.8984187121685814,0.8790972556255834,0,70.76756548881531,1.210970163345337,0
UK,3,2,RF,0.9111592404903589,0.889500475986445,0.9136973699533668,0.889500475986445,0.8980637162369774,0.8799534909909936,0,66.63894319534302,1.2389333248138428,0
UK,3,3,RF,0.9137876653279223,0.8957795893856353,0.9169426079961615,0.8957795893856353,0.9030877815491871,0.8833477201150167,0,69.7375226020813,1.2297511100769043,0
UK,3,4,RF,0.9139348571188258,0.8919403933806274,0.9214882768202868,0.8919403933806274,0.9033876985491959,0.8833124062353626,0,70.46323204040527,1.3512513637542725,0
UK,3,5,RF,0.9107807473137498,0.8837995402323726,0.9134021426381707,0.8837995402323726,0.8947371144746544,0.8794612072047222,0,68.59954166412354,1.2596631050109863,0
UK,4,1,RF,0.911579788464369,0.8895629707778541,0.9176544135663625,0.8895629707778541,0.9000751462940743,0.8802177531979034,0,67.54542374610901,1.2483153343200684,0
UK,4,2,RF,0.9109279391046534,0.8945434082793052,0.9144276058500534,0.8945434082793052,0.9012160736792845,0.8796749024577546,0,67.00739359855652,1.2411925792694092,0
UK,4,3,RF,0.911369514477364,0.8904919202223579,0.9185419838863688,0.8904919202223579,0.9008799440040341,0.8800023855281698,0,67.17163681983948,1.2601256370544434,0
UK,4,4,RF,0.9132619803604096,0.8924049101249135,0.9155092169493558,0.8924049101249135,0.90067757646355,0.8827176270500936,0,69.74546122550964,1.2380707263946533,0
UK,4,5,RF,0.912778350190298,0.8920848013893905,0.9140209698693015,0.8920848013893905,0.8991900533313337,0.8821470841083723,0,67.39153265953064,1.3927249908447266,0
