,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,231,0,0,0,3,3,13,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,0,0,0
1,0,595,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,0,0,0,124,85,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,7,687,140,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,4,126,697,37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,16,0,0,4,41,61,238,4,0,0,0,1,0,7,7,0,2,0,0,0,0,1,0,0,0
7,1,0,0,0,1,0,3,256,0,0,0,2,0,3,7,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,1,0,0,2,0,0,0,242,0,3,17,0,0,0,0,0,0,0,0,0,0
12,0,19,0,0,0,0,0,0,0,0,0,0,8807,0,0,0,0,0,0,0,0,0,0,0,0
13,2,0,0,0,0,0,5,1,0,0,0,1,0,194,4,0,0,0,0,0,0,0,0,0,0
14,5,0,0,0,4,1,7,3,0,0,0,2,0,6,1615,0,0,0,1,0,0,0,0,0,0
15,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0
16,1,0,0,0,0,3,0,0,0,0,0,2,0,1,15,0,481,0,9,0,0,0,1,0,0
17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
18,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3348,0,1,0,0,0,0
19,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,804,0,0,1,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18797,0,1126
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1983,0,4528
