,precision,recall,f1-score,support
appletv,0.6045698255582355,0.6058764607679464,0.6051065826795117,1797.0
blink-camera,0.9080187378171596,0.9892903995229574,0.9469027618099163,8385.0
blink-security-hub,0.8467016757163042,0.7760000000000001,0.8097919527907176,335.0
echodot,0.6980860050237838,0.3886458995549904,0.49930155747356464,3146.0
echoplus,0.4051765201821588,0.5510787172011661,0.46698484383780575,2744.0
echospot,0.770776468518876,0.7761043745203375,0.773422729864929,6515.0
firetv,0.17744982448052574,0.5350763358778625,0.2664389889343726,1048.0
google-home-mini,0.9195396289786967,0.9057708333333331,0.9125941584057919,1920.0
insteon-hub,0.665700822447992,1.0,0.7956911445221795,33.0
lightify-hub,0.7821560254312956,0.9608562691131501,0.8588654621753719,327.0
magichome-strip,0.49199206815174384,0.8592857142857143,0.5642160564851452,112.0
nest-tstat,0.9660732452402148,0.8850526315789474,0.9237822567985569,2565.0
ring-doorbell,0.997904802025667,0.9884915411242748,0.9931747404243976,82044.0
roku-tv,0.4049470920516379,0.7311754684838162,0.5201175559450841,587.0
samsungtv-wired,0.7102324598229558,0.4546204863669859,0.554356986163195,2714.0
sengled-hub,0.9862090514464065,0.4257142857142856,0.5946961697696906,336.0
smartthings-hub,0.8946159159697311,0.878965679360602,0.8867065048402527,2127.0
sousvide,0.9974747474747475,0.9974747474747475,0.9974747474747475,1584.0
t-philips-hub,0.8685323567127934,0.995575443993847,0.9277154641122608,7151.0
t-wemo-plug,0.9828561245204881,0.9432630272952851,0.9626441271405989,3224.0
tplink-bulb,0.9696438861346165,0.9915226337448557,0.9804575170860383,1458.0
tplink-plug,0.8543212991227925,0.9406060606060603,0.8952539226088018,594.0
wansview-cam-wired,0.8477713123469219,0.7929066028565017,0.8194213763609907,80238.0
xiaomi-hub,0.9953161592505851,0.6651017214397501,0.7973733583489679,639.0
yi-camera,0.43366986999464957,0.48956441858684824,0.45992429450654876,26126.0
accuracy,0.831992395341305,0.831992395341305,0.831992395341305,0.831992395341305
macro avg,0.7671894369768392,0.7811207901121707,0.7524966104223776,237749.0
weighted avg,0.8463447813162037,0.831992395341305,0.8365696212446556,237749.0
