Dataset,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T,Al-Time
UKVPN@UK,0,1,RF,0.8982961021918073,0.8916334299610205,0.9535947891682653,0.8916334299610205,0.9023398129615643,0.8607727954565347,0,84.79292798042297,7.119969367980957,4.156113386154175
UKVPN@UK,1,2,RF,0.8986157670484418,0.8929469884385957,0.9557398255711612,0.8929469884385957,0.9045711845746318,0.8612062708817825,0,84.79270911216736,5.99364709854126,4.534715414047241
UKVPN@UK,2,3,RF,0.8982414226768567,0.8908277694998524,0.9545459793352117,0.8908277694998524,0.9023539742743373,0.8606987722184127,0,84.91684126853943,7.527899742126465,4.06246280670166
UKVPN@UK,3,4,RF,0.8987040954956698,0.8970662551885416,0.9539728259358232,0.8970662551885416,0.9067187611157191,0.8613314464756044,0,83.60492753982544,5.972766876220703,4.074124574661255
UKVPN@UK,4,5,RF,0.8950489802270462,0.8891714394103326,0.9442889635618169,0.8891714394103326,0.8959381899721599,0.856278510448389,0,84.07888197898865,5.8717522621154785,4.094848394393921
UKVPN@UK,5,6,RF,0.896054242078831,0.8902887813426255,0.9494228392349621,0.8902887813426255,0.8995679058108718,0.8576748836730267,0,83.5929319858551,5.905275583267212,4.069097518920898
UKVPN@UK,6,7,RF,0.8957261649891272,0.8853133804423942,0.942964043664255,0.8853133804423942,0.8935825266633399,0.857258229672912,0,83.27949404716492,7.507923364639282,4.200993537902832
UKVPN@UK,7,8,RF,0.8985148202516099,0.8960087612169323,0.9574048051278305,0.8960087612169323,0.9074066396316235,0.8610497914808481,0,82.02904152870178,5.999940395355225,4.041071176528931
UKVPN@UK,8,9,RF,0.8948681172160556,0.8820251400554716,0.9418441930343954,0.8820251400554716,0.8916658853398792,0.8560906856847006,0,83.03558611869812,6.127790212631226,4.086107969284058
UKVPN@UK,9,10,RF,0.8986704465633925,0.8921124850316007,0.9560017623092107,0.8921124850316007,0.9038510895903361,0.861288947292044,0,84.9046881198883,8.369683742523193,4.050384998321533
UKVPN@UK,10,11,RF,0.8984853774358672,0.8955281776718124,0.954694560826795,0.8955281776718124,0.9056825211940359,0.8610259581898897,0,85.07304501533508,6.0146801471710205,4.086894512176514
UKVPN@UK,11,12,RF,0.8990532031680469,0.896794611778446,0.9574584932141099,0.896794611778446,0.907934221758258,0.8618091796522074,0,83.1399872303009,7.9413299560546875,3.9343230724334717
UKVPN@UK,12,13,RF,0.8985064080185405,0.8947202107935298,0.9534960103343052,0.8947202107935298,0.90447207509677,0.8610405886070821,0,86.73018431663513,5.864175319671631,4.045557260513306
UKVPN@UK,13,14,RF,0.8991625621979482,0.9001593109059897,0.9585662071546476,0.9001593109059897,0.9105673594027575,0.861948984261363,0,81.98239874839783,5.9853715896606445,4.068974256515503
UKVPN@UK,14,15,RF,0.8987671872436898,0.8994050989914399,0.9590956286676957,0.8994050989914399,0.9099980438756008,0.8613919371937173,0,82.39440321922302,5.8625006675720215,4.057695388793945
UKVPN@UK,15,16,RF,0.8965169148976442,0.8888745936289867,0.948962766057678,0.8888745936289867,0.8981346572896891,0.858337010465225,0,83.143226146698,5.920752048492432,4.202593088150024
UKVPN@UK,16,17,RF,0.8987587750106204,0.8943400150047479,0.9559314330601939,0.8943400150047479,0.9057370209941149,0.8614170835681116,0,83.82073640823364,5.921392440795898,4.062227487564087
UKVPN@UK,17,18,RF,0.8958691729513057,0.8893714855731458,0.9471670652247517,0.8893714855731458,0.8978507603543889,0.8574434658131832,0,82.43718266487122,5.869205474853516,4.059231519699097
UKVPN@UK,18,19,RF,0.8959995625638804,0.8870980504705415,0.9472881041249493,0.8870980504705415,0.8961857750392147,0.8576174216039715,0,81.25629568099976,5.914835691452026,4.0315845012664795
UKVPN@UK,19,20,RF,0.8982330104437873,0.8909099227322212,0.9528494533147122,0.8909099227322212,0.9017005630688569,0.8606905101477873,0,83.72378659248352,5.964106559753418,4.047766447067261
UKVPN@UK,20,21,RF,0.8959701197481378,0.883021070657839,0.9454558605115683,0.883021070657839,0.8932459824475255,0.8576032848186252,0,84.18261957168579,6.412700653076172,4.09476375579834
UKVPN@UK,21,22,RF,0.8958817913009098,0.8878165594049361,0.9449890989335217,0.8878165594049361,0.8954263114762694,0.857460173472957,0,81.78710412979126,5.883967161178589,4.067894458770752
UKVPN@UK,22,23,RF,0.8993896924908201,0.9022160424482046,0.9597471997392902,0.9022160424482046,0.912398806360505,0.8622532750904133,0,81.38471722602844,6.013985633850098,4.0648181438446045
UKVPN@UK,23,24,RF,0.8995327004529987,0.8995890664622334,0.9552897444373021,0.8995890664622334,0.9082566224126123,0.8624815794783817,0,83.45420432090759,5.909312725067139,4.101040601730347
UKVPN@UK,24,25,RF,0.8991162949160669,0.9010036461641056,0.9585638406958223,0.9010036461641056,0.9108762438124022,0.8618924331746858,0,82.56842589378357,5.9550323486328125,4.078339338302612
