,precision,recall,f1-score,support
appletv,0.9088873725792366,0.9033508912863457,0.9059647020119748,275.8
blink-camera,0.9799914672089127,0.9840090174733163,0.9819924344615343,1861.0
blink-security-hub,0.8239662136963485,0.8559345184945151,0.8383321416836825,83.6
echodot,0.7081718008500568,0.7034239032802387,0.7054039287676903,482.6
echoplus,0.6841330346928494,0.6953660541721529,0.6894624092410649,726.2
echospot,0.8559030212282721,0.8608147714440653,0.8583277984265656,1681.0
firetv,0.9146399261706118,0.901921923346267,0.9080289076972449,520.0
google-home-mini,0.9232001037536884,0.9122200755042646,0.9176448915848068,537.0
insteon-hub,0.6535353535353535,0.7039682539682539,0.6722254353833301,7.2
lightify-hub,0.9485176670596825,0.9277712533526774,0.9375095539186187,111.4
magichome-strip,0.6826464816372303,0.6934072991762668,0.6871142740074616,37.2
nest-tstat,0.8685027599178543,0.8492003585568844,0.8585926412721658,544.6
ring-doorbell,0.9973464798755849,0.997690671683866,0.9975184898304026,14466.8
roku-tv,0.750509204537954,0.728649384438064,0.739146103336801,188.8
samsungtv-wired,0.9613920682424842,0.9540067166446817,0.9576414073939326,750.8
sengled-hub,0.5671041108518422,0.48267114233756986,0.5155570895755162,40.0
smartthings-hub,0.8353175704750953,0.8503632562326496,0.8425407175404371,347.0
sousvide,0.9838669569679863,0.9752359946014755,0.9795173853560426,289.2
t-philips-hub,0.9461232087946684,0.9458601552085278,0.9459893666814361,592.0
t-wemo-plug,0.9215278158097145,0.9202062176592225,0.9207881018315804,817.2
tplink-bulb,0.8432122896031002,0.861163649741447,0.8513587093654065,141.0
tplink-plug,0.8457719513336132,0.8711012083459732,0.857970917741466,117.0
wansview-cam-wired,0.9965697323366454,0.9963709415010277,0.9964701146069836,18193.2
xiaomi-hub,0.8601249171157411,0.8577522739836173,0.8588391931081283,196.6
yi-camera,0.9823680338754579,0.9832553191639002,0.9828080830942112,5690.2
accuracy,0.971481020537935,0.971481020537935,0.971481020537935,0.971481020537935
macro avg,0.8577331816859994,0.8566286100638909,0.8562697919167395,48697.4
weighted avg,0.9715558138057411,0.971481020537935,0.9714768917284475,48697.4
