Feature,Dataset,Folder,T,CV,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
arp.duplicate-address-detected,CS2D1,CV,3.0,0.0,0.380312258315748,0.0833333333333333,0.03169268819297895,0.0833333333333333,0.04592060973635562,0.0,0.0,0.015733003616332984,0.0031272888183593596
arp.duplicate-address-frame,CS2D1,CV,3.0,0.0,0.38031226308087146,0.0833333333333333,0.03169268859007258,0.0833333333333333,0.0459210010321434,0.0,0.0,0.020173931121826118,0.0
arp.hw.size,CS2D1,CV,3.0,0.0,0.4142995916995777,0.09271751170949116,0.07288550599538299,0.09271751170949116,0.07615157486661374,0.06745980343310465,0.0,0.024942684173583925,0.00129828453063964
arp.hw.type,CS2D1,CV,3.0,0.0,0.41429959444868725,0.09271704182082498,0.0728843586482995,0.09271704182082498,0.07615170000211827,0.06744834926577474,0.0,0.02069559097290034,0.00608515739440914
arp.isannouncement,CS2D1,CV,3.0,0.0,0.392461916421398,0.10789564935628618,0.07354921420150502,0.10789564935628618,0.0774891089503967,0.03265819804254694,0.0,0.0157699584960937,0.00939769744873046
arp.isgratuitous,CS2D1,CV,3.0,0.0,0.3922521507414197,0.10790587051266502,0.07284493856847278,0.10790587051266502,0.0772904879782548,0.03234732391313454,0.0,0.0184676647186279,0.0
arp.isprobe,CS2D1,CV,3.0,0.0,0.3803122736191251,0.0833333333333333,0.03169268946826038,0.0833333333333333,0.04592089059856322,0.0,0.0,0.01616969108581536,0.0
arp.opcode,CS2D1,CV,3.0,0.0,0.41429959206612565,0.09271765943795299,0.07288603406443248,0.09271765943795299,0.0761518578309491,0.06745020764934673,0.0,0.024171829223632778,0.004564476013183561
arp.proto.size,CS2D1,CV,3.0,0.0,0.41429959710615993,0.09271691056174425,0.07288408873621662,0.09271691056174425,0.07615158725725531,0.06745137364243121,0.0,0.028618097305297824,0.0
arp.proto.type,CS2D1,CV,3.0,0.0,0.4142995909664817,0.09271589745569736,0.07288319275423351,0.09271589745569736,0.07615038406173555,0.06744523648608884,0.0,0.019564819335937438,0.00416088104248046
arp.seconds-since-duplicate-address-frame,CS2D1,CV,3.0,0.0,0.3803122782926115,0.0833333333333333,0.03169268985771758,0.0833333333333333,0.04592054888810664,0.0,0.0,0.018065595626831,0.00667009353637692
dhcp.flags.bc,CS2D1,CV,3.0,0.0,0.3806718540453556,0.08718143456911111,0.12702834070711086,0.08718143456911111,0.0533398180552044,0.00095752430729052,0.0,0.021601629257202118,0.01004109382629392
dhcp.flags,CS2D1,CV,3.0,0.0,0.38067187777933553,0.08717040268163684,0.13061092758842108,0.08717040268163684,0.05333492432513084,0.0009576122402284599,0.0,0.02254805564880364,0.00222682952880858
dhcp.flags.reserved,CS2D1,CV,3.0,0.0,0.38058625071132407,0.08620334149360838,0.07350882600472167,0.08620334149360838,0.051322359996580046,0.0008185744601965,0.0,0.01920909881591792,0.005935907363891581
