Feature,Dataset,Folder,T,CV,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
ACK Flag Cnt,DD1,DD,0.0,2.0,0.3571870604781997,0.1164987410212229,0.0675768136556176,0.1164987410212229,0.063590401896035,0.0494851214230064,0.0,0.00221972465515132,0.00190348625183102
Active Max,DD1,DD,0.0,2.0,0.1844725738396624,0.23424474895185948,0.2569418679741994,0.23424474895185948,0.1767866294715526,0.0992226399868021,0.0,0.02439036369323724,0.00287613868713376
Active Mean,DD1,DD,0.0,2.0,0.1859353023909986,0.2436003698793236,0.2512636921424913,0.2436003698793236,0.1847407509807315,0.1014734034618261,0.0,0.025244474411010676,0.00332427024841302
Active Min,DD1,DD,0.0,2.0,0.1821659634317862,0.2407677746827211,0.3098823857169823,0.2407677746827211,0.2080855085312629,0.0934580557663374,0.0,0.02358980178833004,0.0026756763458251403
Active Std,DD1,DD,0.0,2.0,0.1359774964838256,0.1623362379956725,0.1430661101175432,0.1623362379956725,0.1014673269069685,0.047383811423064,0.0,0.02014002799987786,0.00213136672973628
Bwd Blk Rate Avg,DD1,DD,0.0,2.0,0.0918706047819971,0.0833333333333333,0.007655883731833001,0.0833333333333333,0.014023426765594902,0.0,0.0,0.0022689819335936995,0.0017184734344482002
Bwd Header Len,DD1,DD,0.0,2.0,0.24084388185654,0.2586277215668783,0.2445228523905704,0.2586277215668783,0.1755029363421124,0.1806683198442153,0.0,0.00457248687744136,0.0022858619689941
Bwd IAT Max,DD1,DD,0.0,2.0,0.2188466947960619,0.2797329128692059,0.2877821922100137,0.2797329128692059,0.21847497643191977,0.1525204621003622,0.0,0.01844944953918452,0.0026617527008056
Bwd IAT Mean,DD1,DD,0.0,2.0,0.41063291139240493,0.3303542483053813,0.3787604018466428,0.3303542483053813,0.2986927233099923,0.2644458051356619,0.0,0.0182151317596435,0.00520954132080072
Bwd IAT Min,DD1,DD,0.0,2.0,0.2670042194092827,0.2603776441748235,0.3034876459817531,0.2603776441748235,0.2083788764625935,0.1327911347477933,0.0,0.01800184249877922,0.0028335571289061995
Bwd IAT Std,DD1,DD,0.0,2.0,0.410182841068917,0.2826561371752489,0.358715518325286,0.2826561371752489,0.2657739162862703,0.2532406432649201,0.0,0.0169749736785888,0.0029751300811766803
Bwd IAT Tot,DD1,DD,0.0,2.0,0.2709423347398031,0.2948181434874711,0.3355675244626875,0.2948181434874711,0.2464206992785123,0.1816981342550245,0.0,0.02198019027709956,0.00250239372253416
Bwd Pkt Len Max,DD1,DD,0.0,2.0,0.5522925457102672,0.4975762858035714,0.5303971178330504,0.4975762858035714,0.41830816442649243,0.4027167655202256,0.0,0.00489530563354486,0.00183391571044918
